player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Ethan Garbers,131896,QB,UCLA,11,73.1,334,364,7.7,2.96,7,10,2.6,64.6,235,0,176,3.7,436,9,0.07,148,324,42.7,69.1,68.3,60.7,4,11,458,2,47.0,19.3,89.1,7.8,34,38,0,19,16,19,4.1,2723,7.5
Athan Kaliakmanis,144971,QB,RUTGERS,12,65.1,344,364,11.1,2.71,3,14,3.6,54.7,199,0,137,11.2,408,25,0.1,135,278,75.3,78.8,75.1,70.1,7,6,432,4,45.3,12.4,84.5,4.2,17,27,0,10,17,18,4.2,2459,6.8
Jaxson Dart,146409,QB,OLE MISS,12,77.0,343,364,12.3,2.8,8,26,6.7,68.4,249,0,129,5.7,430,15,0.45,163,226,72.1,92.3,91.7,75.8,5,6,457,6,56.0,19.4,119.4,5.8,25,40,1,7,25,10,2.2,3872,10.6
Miller Moss,70727,QB,USC,9,72.5,335,364,7.6,2.58,12,13,3.4,64.0,233,0,114,4.1,374,10,0.13,134,326,56.9,77.7,75.7,65.5,7,9,389,3,47.9,7.9,90.8,2.4,9,1,1,9,18,12,3.1,2548,7.0
Taylen Green,145996,QB,ARKANSAS,12,70.5,332,363,10.7,3.16,7,21,5.6,60.3,219,0,164,6.4,429,15,0.09,143,111,42.4,85.1,78.2,79.5,5,9,446,4,47.6,18.9,86.2,7.2,31,35,1,18,13,17,3.8,2805,7.7
Hank Bachmeier,101284,QB,WAKE,12,72.0,332,358,9.7,2.98,8,18,4.6,62.3,223,0,171,6.7,447,16,0.03,146,339,52.8,73.6,72.3,61.9,7,10,481,2,47.2,24.0,87.2,9.2,41,46,1,10,16,12,2.5,2576,7.2
Jordan McCloud,101058,QB,TEXAS ST,12,79.7,330,357,8.7,2.56,6,15,4.0,69.5,248,0,105,5.7,394,15,0.28,151,314,60.7,84.8,83.2,66.4,10,12,413,1,51.5,13.3,107.2,3.6,14,23,0,11,29,10,2.4,2923,8.2
Alonza Barnett III,156710,QB,JAMES MAD,12,74.8,313,355,9.3,2.79,12,14,3.8,60.0,213,1,116,9.0,420,21,0.06,130,197,42.8,68.6,65.4,65.4,4,4,433,4,44.5,29.3,102.2,8.1,34,31,0,26,26,13,3.0,2591,7.3
Connor Bazelak,99135,QB,BOWL GREEN,12,76.1,330,355,7.4,2.72,6,10,2.7,67.0,238,0,101,5.2,390,13,0.12,131,122,68.1,79.4,77.3,66.6,3,5,411,2,50.0,25.7,97.5,6.7,26,7,1,15,15,8,1.9,2669,7.5
Jake Retzlaff,70874,QB,BYU,12,70.9,316,349,11.2,2.71,12,12,3.2,57.6,201,0,109,10.3,384,23,0.16,145,128,41.4,78.4,75.6,69.7,5,10,409,1,46.1,14.7,90.6,4.2,16,18,3,13,20,15,3.7,2793,8.0
John Mateer,158516,QB,WASH STATE,12,72.9,332,348,10.2,3.06,5,18,4.9,64.1,223,0,128,7.9,434,19,0.31,159,341,69.1,83.3,70.8,86.0,2,7,459,4,52.3,25.8,112.4,7.6,33,47,0,9,29,16,3.5,3136,9.0
Avery Johnson,173108,QB,KANSAS ST,12,71.5,319,344,9.6,3.06,7,15,4.2,58.1,200,0,109,12.3,377,28,0.14,129,199,70.1,82.5,75.0,80.0,4,9,388,4,47.7,8.3,91.3,2.4,9,23,2,12,22,13,3.4,2508,7.3
Will Howard,122599,QB,OHIO STATE,13,78.9,327,343,8.4,2.68,1,19,5.3,72.9,250,0,98,3.1,370,8,0.36,146,260,49.3,84.2,84.2,61.7,3,9,387,1,55.9,11.2,118.5,3.0,11,12,0,12,29,13,3.4,3164,9.2
Alan Bowman,77679,QB,OKLA STATE,11,65.8,322,341,8.9,2.37,2,11,3.0,59.8,204,0,56,3.8,352,8,0.16,120,262,74.2,71.5,70.6,57.4,0,12,378,3,46.6,12.5,83.8,2.0,7,1,0,17,17,13,3.4,2444,7.2
Tucker Gleason,122475,QB,TOLEDO,11,71.2,313,337,9.2,2.62,3,10,2.8,61.7,208,0,127,6.7,368,15,0.11,122,316,38.8,70.7,66.1,69.9,7,7,390,1,45.9,11.8,96.9,4.1,15,16,2,12,22,14,3.6,2446,7.3
