name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Nate Kurisky,DUKE,44,TE,Offense,60.3,,,63.3,62.9,52.9,457,,,168,45,244,,,,,,,,,"6' 3""",245
Nate Sheppard,DUKE,20,RB,Offense,89.5,,90.9,75.3,54.0,60.6,552,,210,252,78,12,,,,,,,,,"5' 10""",205
Preston Watson,DUKE,95,DT,Defense,,,,,,,,,,,,,67.2,63,68.8,,305,156,149,,"6' 1""",300
Walker Eget,DUKE,2,QB,Offense,67.5,66.7,57.8,56.7,,60.0,651,441,14,1,,195,,,,,,,,,"6' 3""",235
Xavier Terrell,DUKE,78,OT,Offense,69.9,,,,66.7,70.6,642,,,,303,339,,,,,,,,,"6' 4""",310
Ashton Levells-Mitchell,E CAROLINA,7,CB,Defense,,,,,,,,,,,,,63.2,72.8,58.9,62.5,313,108,1,204,"6' 1""",177
Ayden Duncanson,E CAROLINA,13,S,Defense,,,,,,,,,,,,,56.9,52.9,57.3,60.4,271,99,2,170,"6' 0""",194
Brandon Best,E CAROLINA,58,OG,Offense,62.7,,,,80.7,55.5,988,,,,518,470,,,,,,,,,"6' 4""",313
Brock Spalding,E CAROLINA,10,WR,Offense,70.8,,74.7,70.7,,58.6,556,,4,290,,262,,,,,,,,,"5' 11""",193
Deshawn Woods,E CAROLINA,71,OT,Offense,53.7,,,,53.0,53.5,716,,,,375,341,,,,,,,,,"6' 4""",310
Ethan Kramer,E CAROLINA,55,OG,Offense,64.6,,,,79.5,58.7,806,,,,443,363,,,,,,,,,"6' 4""",310
Ismael Smith Flores,E CAROLINA,8,TE,Offense,60.2,,,64.7,64.1,54.5,457,,,177,54,226,,,,,,,,,"6' 5""",250
Ja'Keith Hamilton,E CAROLINA,15,WR,Offense,75.4,,,75.0,60.9,71.0,447,,,255,1,191,,,,,,,,,"6' 2""",212
Jasiyah Robinson,E CAROLINA,0,EDGE,Defense,,,,,,,,,,,,,77.9,80.1,71.3,57.9,407,178,219,10,"6' 3""",259
Julien Davis,E CAROLINA,42,EDGE,Defense,,,,,,,,,,,,,73.2,69.4,58.9,81.1,318,138,80,100,"6' 2""",239
Kanen Hamlett,E CAROLINA,6,TE,Offense,44.1,,,54.7,36.2,38.6,275,,,141,32,102,,,,,,,,,"6' 4""",239
Kevon Merrell Jr.,E CAROLINA,4,CB,Defense,,,,,,,,,,,,,72.2,60.5,58,78.4,347,162,23,162,"6' 1""",199
Landon Sides,E CAROLINA,7,WR,Offense,57.7,,,59.1,,50.6,687,,,378,,309,,,,,,,,,"5' 11""",194
Michael Allen,E CAROLINA,21,RB,Offense,75.8,,75.7,70.1,62.6,59.9,245,,78,67,44,56,,,,,,,,,"5' 11""",209
Niko Paic,E CAROLINA,54,OG,Offense,60.3,,,,75.3,55.5,693,,,,391,302,,,,,,,,,"6' 2""",297
Preston Carr,E CAROLINA,44,DT,Defense,,,,,,,,,,,,,75.6,75.5,66.1,68.3,408,175,226,7,"6' 3""",313
Barry Manning,E MICHIGAN,3,LB,Defense,,,,,,,,,,,,,60.1,60.1,55.4,60.1,661,374,27,260,"6' 1""",212
Benson Prosper,E MICHIGAN,3,WR,Offense,57.6,,63.6,59.7,,42.8,280,,9,177,,94,,,,,,,,,"5' 10""",186
Caleb Dobbs,E MICHIGAN,17,CB,Defense,,,,,,,,,,,,,59.1,49.3,,61.1,286,147,,139,"6' 0""",162
Carter Evans,E MICHIGAN,33,EDGE,Defense,,,,,,,,,,,,,66,59.4,68.7,70.7,569,334,223,12,"6' 4""",264
Cole Cabana,E MICHIGAN,78,OT,Offense,66.0,,,,68.2,64.8,832,,,,438,394,,,,,,,,,"6' 6""",315
Donovan Green,E MICHIGAN,9,DT,Defense,,,,,,,,,,,,,76.2,81.4,60.2,58.1,534,325,209,0,"5' 11""",300
Harold Mack,E MICHIGAN,5,WR,Offense,69.4,,54.2,73.0,,46.5,284,,2,167,,115,,,,,,,,,"5' 10""",175
Jaivian Norman,E MICHIGAN,8,CB,Defense,,,,,,,,,,,,,57.7,51.1,56.5,61.8,264,127,3,134,"5' 9""",185
Jason Marshall,E MICHIGAN,13,S,Defense,,,,,,,,,,,,,59.6,56.9,,60.6,479,261,,218,"6' 3""",201
Joshua Long,E MICHIGAN,9,TE,Offense,61.6,,,63.1,70.0,50.3,687,,,358,45,284,,,,,,,,,"6' 5""",242
Juan Salas,E MICHIGAN,4,S,Defense,,,,,,,,,,,,,55.7,47.6,,59.9,322,168,,154,"5' 8""",181
Nathan Henry,E MICHIGAN,54,OG,Offense,72.0,,,65.1,50.3,75.7,650,,,0,305,345,,,,,,,,,"6' 1""",300
Nicholas Gallegos,E MICHIGAN,65,C,Offense,66.2,,,,72.1,67.2,708,,,,398,310,,,,,,,,,"6' 3""",294
Nick Devereaux,E MICHIGAN,2,WR,Offense,67.0,,,67.5,,58.4,601,,,334,,267,,,,,,,,,"6' 1""",190
Noah Kim,E MICHIGAN,1,QB,Offense,67.6,69.4,53.2,60.0,,60.7,829,467,51,1,,310,,,,,,,,,"6' 2""",186
Peyton Christian,E MICHIGAN,58,DT,Defense,,,,,,,,,,,,,82.5,85.8,72,60,496,254,242,0,"5' 11""",300
Quincy Byas,E MICHIGAN,54,EDGE,Defense,,,,,,,,,,,,,66.2,56.2,74.6,62,287,151,126,10,"6' 1""",230
Tyrell Martin,E MICHIGAN,5,DT,Defense,,,,,,,,,,,,,67.6,67,61.9,63.5,535,302,231,2,"6' 0""",290
Zach Mowchan,E MICHIGAN,11,LB,Defense,,,,,,,,,,,,,53.1,61.9,68.3,41.1,304,180,17,107,"6' 2""",224
AJ Johnson,FAU,1,TE,Offense,55.5,,,59.8,58.6,47.8,621,,,269,38,314,,,,,,,,,"6' 4""",255
Aqil Meredith-Smith,FAU,60,OG,Offense,61.0,,,,75.7,58.0,731,,,,333,398,,,,,,,,,"6' 3""",310
Brooks Johnson,FAU,11,TE,Offense,47.7,,,58.6,68.2,35.6,307,,,128,36,143,,,,,,,,,"6' 5""",235
Caden Veltkamp,FAU,10,QB,Offense,73.2,73.6,54.1,77.9,,60.0,869,589,47,4,,229,,,,,,,,,"6' 5""",245
Chris Tooley III,FAU,8,CB,Defense,,,,,,,,,,,,,51.2,61.9,48.1,48.2,423,206,13,204,"6' 0""",180
Damarius McGhee,FAU,4,CB,Defense,,,,,,,,,,,,,68.2,59,,69.9,412,210,,202,"6' 0""",183
Damon Allen,FAU,0,CB,Defense,,,,,,,,,,,,,59.1,66.1,73.3,51.2,252,119,19,114,"6' 1""",200
Deshaun Batiste,FAU,5,EDGE,Defense,,,,,,,,,,,,,65.6,53.9,75.1,68.3,390,188,196,6,"6' 3""",258
Dominique Henry,FAU,9,WR,Offense,61.2,58.9,,62.1,64.1,47.1,721,1,,493,1,226,,,,,,,,,"5' 11""",190
Easton Messer,FAU,8,WR,Offense,75.4,86.6,75.4,75.4,78.7,46.7,782,2,3,549,2,226,,,,,,,,,"5' 9""",190
Jay Crable,FAU,12,EDGE,Defense,,,,,,,,,,,,,64.4,58.1,76.1,58.2,565,241,265,59,"6' 3""",240
Jayden Sweeney,FAU,22,S,Defense,,,,,,,,,,,,,59,66.1,74.4,53.3,515,234,9,272,"5' 11""",190
Kaden Shields-Dutton,FAU,28,RB,Offense,75.8,74.6,76.6,64.4,85.8,64.2,302,1,86,146,47,22,,,,,,,,,"5' 11""",215
Khmari Johnson,FAU,7,LB,Defense,,,,,,,,,,,,,65.2,66.9,85.6,50,394,187,46,161,"6' 1""",220
Lebron Edmond,FAU,91,DT,Defense,,,,,,,,,,,,,66.9,75.6,56.9,63.4,474,190,284,0,"6' 4""",305
Leon Hart Jr.,FAU,6,LB,Defense,,,,,,,,,,,,,53.3,57.4,66.8,45.1,638,319,42,277,"6' 0""",215
Naejaun Barber,FAU,9,DT,Defense,,,,,,,,,,,,,69.3,74.7,56.2,60,436,252,184,0,"6' 3""",310
Okino King,FAU,62,OG,Offense,62.2,,,,72.1,57.6,465,,,,312,153,,,,,,,,,"6' 3""",305
RJ Garcia II,FAU,6,WR,Offense,66.9,88.1,75.2,64.3,,66.9,405,1,2,232,,170,,,,,,,,,"6' 0""",180
Vincent Fiacable,FAU,62,C,Offense,67.9,,,,83.2,60.8,967,,,,661,306,,,,,,,,,"6' 4""",320
Wilky Denaud,FAU,2,EDGE,Defense,,,,,,,,,,,,,74.9,78.4,62.3,63.7,306,163,143,0,"6' 3""",285
Zyere Horton,FAU,28,LB,Defense,,,,,,,,,,,,,59.3,60.6,54.2,59.7,288,150,39,99,"6' 3""",225
Anthony Carrie,FIU,1,RB,Offense,63.1,,65.9,59.5,30.0,53.2,306,,106,129,49,22,,,,,,,,,"6' 0""",205
Antonio Tripp Jr.,FIU,71,OG,Offense,60.0,,,,70.3,59.7,526,,,,289,237,,,,,,,,,"6' 3""",305
Greg Gaines III,FIU,8,WR,Offense,65.7,,,66.9,,55.3,876,,,521,,355,,,,,,,,,"6' 3""",200
JJ Kohl,FIU,17,QB,Offense,67.5,66.0,63.5,,,60.1,420,248,12,,,160,,,,,,,,,"6' 7""",250
Jackson Verdugo,FIU,9,TE,Offense,55.2,,,58.8,47.7,51.2,293,,,117,40,136,,,,,,,,,"6' 4""",250
Jai-Ayviauynn Celestine,FIU,7,CB,Defense,,,,,,,,,,,,,69.2,63.6,57.8,69.5,472,201,2,269,"5' 9""",175
Kyle McNeal,FIU,7,WR,Offense,62.6,,63.0,63.2,,58.1,489,,1,297,,191,,,,,,,,,"6' 1""",185
Maguire Anderson,FIU,2,WR,Offense,59.4,,,59.6,,54.3,505,,,298,,207,,,,,,,,,"6' 0""",185
Percy Courtney Jr.,FIU,11,LB,Defense,,,,,,,,,,,,,68.5,74.7,61,59.9,298,130,27,141,"6' 0""",225
Ryan Gadson,FIU,8,CB,Defense,,,,,,,,,,,,,75.8,89.6,58.8,72.8,546,225,2,319,"5' 10""",190
Wesley Miller,FIU,4,S,Defense,,,,,,,,,,,,,57.4,57.9,59.2,56.6,526,268,1,257,"5' 11""",190
Zaire Flournoy,FIU,54,OG,Offense,70.4,,,,66.4,70.6,409,,,,235,174,,,,,,,,,"6' 3""",335
Bryce Thornton,FLORIDA,1,S,Defense,,,,,,,,,,,,,78.3,73.9,88.9,74.9,681,329,20,332,"5' 10""",211
Cormani McClain,FLORIDA,25,CB,Defense,,,,,,,,,,,,,68.5,74.3,,67.3,460,227,,233,"6' 2""",181
Emeka Ugorji,FLORIDA,66,OG,Offense,46.5,,,,27.6,51.1,523,,,,302,221,,,,,,,,,"6' 4""",308
Emmanuel Oyebadejo,FLORIDA,99,EDGE,Defense,,,,,,,,,,,,,80.2,78.2,73.9,67.5,653,272,371,10,"6' 6""",299
Eric Singleton Jr.,FLORIDA,2,WR,Offense,64.5,51.3,57.4,66.0,,63.9,606,1,14,366,,225,,,,,,,,,"5' 10""",184
Evan Chieca,FLORIDA,85,TE,Offense,57.9,,,59.7,60.1,53.6,565,,,298,53,214,,,,,,,,,"6' 4""",253
Evan Pryor,FLORIDA,21,RB,Offense,73.8,,81.8,50.1,52.3,57.0,289,,81,142,38,28,,,,,,,,,"5' 10""",189
Harrison Moore,FLORIDA,52,C,Offense,64.0,,,,69.0,66.7,682,,,,332,350,,,,,,,,,"6' 4""",293
J'Vari Flowers,FLORIDA,6,CB,Defense,,,,,,,,,,,,,60.3,69,51.3,58.6,298,150,5,143,"5' 10""",189
Jadan Baugh,FLORIDA,13,RB,Offense,87.7,,89.5,69.9,65.8,65.6,595,,226,279,61,29,,,,,,,,,"6' 1""",225
Jaden Robinson,FLORIDA,29,LB,Defense,,,,,,,,,,,,,54,56.6,63.4,48.3,491,230,56,205,"6' 0""",227
Jayden Woods,FLORIDA,0,EDGE,Defense,,,,,,,,,,,,,69.8,60.6,73.7,68.3,448,234,161,53,"6' 3""",245
Jordy Lowery,FLORIDA,13,CB,Defense,,,,,,,,,,,,,63.7,82.1,49.9,60.4,460,187,10,263,"5' 10""",183
Kamran James,FLORIDA,24,EDGE,Defense,,,,,,,,,,,,,68.3,69.7,62,61.1,402,207,174,21,"6' 6""",278
Knijeah Harris,FLORIDA,77,OG,Offense,65.1,,,,74.4,63.4,672,,,,375,297,,,,,,,,,"6' 3""",308
Lacota Dippre,FLORIDA,17,TE,Offense,72.0,,72.0,63.9,69.8,71.3,546,,3,170,40,332,,,,,,,,,"6' 3""",248
London Montgomery,FLORIDA,24,RB,Offense,73.3,,77.4,58.8,24.7,59.1,402,,159,161,54,28,,,,,,,,,"5' 10""",192
Luke Harpring,FLORIDA,15,TE,Offense,65.6,,,69.0,61.3,57.7,239,,,121,18,100,,,,,,,,,"6' 3""",237
Micah Mays Jr.,FLORIDA,5,WR,Offense,56.2,,,57.4,,53.1,417,,,258,,159,,,,,,,,,"6' 1""",197
TJ Shanahan Jr.,FLORIDA,67,OG,Offense,63.8,,,,76.9,59.1,419,,,,206,213,,,,,,,,,"6' 4""",309
Vernell Brown III,FLORIDA,1,WR,Offense,65.1,,62.8,64.7,,63.9,428,,1,259,,168,,,,,,,,,"5' 11""",178
Blake Nichelson,FLORIDA ST,20,LB,Defense,,,,,,,,,,,,,66.8,79.7,58.5,53.8,420,200,35,185,"6' 3""",222
Bradyn Welch-Joiner,FLORIDA ST,55,C,Offense,62.3,,,,63.2,61.2,791,,,,475,316,,,,,,,,,"6' 2""",327
CJ Richard Jr.,FLORIDA ST,11,S,Defense,,,,,,,,,,,,,79.1,82,61.2,75.8,529,205,14,310,"6' 1""",200
Daniel Lyons,FLORIDA ST,5,DT,Defense,,,,,,,,,,,,,69,73,58.4,62.6,425,232,192,1,"6' 4""",292
Darrell Jackson Jr.,FLORIDA ST,6,DT,Defense,,,,,,,,,,,,,74.4,81.3,58.5,60.8,522,265,252,5,"6' 5""",337
Darryll Desir,FLORIDA ST,1,EDGE,Defense,,,,,,,,,,,,,66.3,60.2,68.5,61.8,300,155,142,3,"6' 5""",259
Dean DeNobile,FLORIDA ST,4,QB,Offense,66.3,66.9,51.9,52.5,,61.6,786,390,18,6,,372,,,,,,,,,"6' 2""",203
Deante McCray,FLORIDA ST,8,EDGE,Defense,,,,,,,,,,,,,72.5,76.1,61.5,59.6,297,164,130,3,"6' 4""",291
Desirrio Riles,FLORIDA ST,6,TE,Offense,62.0,,,67.3,62.3,50.9,577,,,216,78,283,,,,,,,,,"6' 3""",235
Duce Robinson,FLORIDA ST,0,WR,Offense,79.5,,,80.3,,70.5,705,,,375,,330,,,,,,,,,"6' 6""",230
Gemari Sands,FLORIDA ST,22,RB,Offense,76.2,,74.3,78.6,82.6,64.6,397,,109,176,91,21,,,,,,,,,"5' 11""",208
Ja'Bril Rawls,FLORIDA ST,6,CB,Defense,,,,,,,,,,,,,73,70.1,71.6,74.2,374,164,7,203,"6' 1""",178
Jaylen Early,FLORIDA ST,73,OT,Offense,63.6,,,,64.7,62.1,910,,,,490,420,,,,,,,,,"6' 4""",330
Jordan Sanders,FLORIDA ST,88,DT,Defense,,,,,,,,,,,,,77.6,72.3,74.2,70.7,366,182,184,0,"6' 4""",310
K.J. Kirkland,FLORIDA ST,24,S,Defense,,,,,,,,,,,,,52.2,73,56.6,41.2,240,113,12,115,"6' 1""",209
Micahi Danzy,FLORIDA ST,8,WR,Offense,70.1,,83.7,66.2,61.9,58.4,510,,13,291,1,205,,,,,,,,,"6' 1""",194
Nehemiah Chandler,FLORIDA ST,12,CB,Defense,,,,,,,,,,,,,71.6,47,54,75.8,608,285,4,319,"6' 1""",183
Omar Graham Jr.,FLORIDA ST,9,LB,Defense,,,,,,,,,,,,,67.6,69.8,54.6,65.6,318,159,33,126,"6' 1""",234
Paul Bowling,FLORIDA ST,51,C,Offense,63.8,,,52.4,65.5,66.0,752,,,0,451,301,,,,,,,,,"6' 3""",305
Quintrevion Wisner,FLORIDA ST,5,RB,Offense,77.3,,81.5,58.2,68.1,55.2,412,,136,194,53,29,,,,,,,,,"6' 0""",203
Aidan Banfield,FRESNO ST,77,OT,Offense,47.5,,,,50.9,44.6,708,,,,360,348,,,,,,,,,"6' 6""",310
Bryson Donelson,FRESNO ST,6,RB,Offense,71.0,,72.2,54.6,53.1,84.7,319,,142,139,28,10,,,,,,,,,"5' 11""",205
Dylan Hampsten,FRESNO ST,11,EDGE,Defense,,,,,,,,,,,,,75.9,81.8,73.5,37.1,426,192,216,18,"6' 4""",250
Edward Fonua,FRESNO ST,72,OG,Offense,61.5,,,,71.2,57.3,858,,,,440,418,,,,,,,,,"6' 3""",315
Ezekiel Avit,FRESNO ST,0,WR,Offense,60.9,,63.2,60.6,,60.1,416,,1,219,,196,,,,,,,,,"6' 2""",200
Jahlil McClain,FRESNO ST,1,WR,Offense,55.2,,,56.0,,49.5,315,,,208,,107,,,,,,,,,"5' 11""",185
Jahzon Jacks,FRESNO ST,6,EDGE,Defense,,,,,,,,,,,,,64.2,71.1,56.7,58.2,480,210,258,12,"6' 4""",260
Jake Appleget,FRESNO ST,87,TE,Offense,50.0,,,49.5,76.8,52.7,468,,,166,49,253,,,,,,,,,"6' 4""",245
Josiah Freeman,FRESNO ST,5,WR,Offense,72.6,,81.1,71.3,,59.4,607,,6,338,,263,,,,,,,,,"6' 4""",200
Merhauti Xepera,FRESNO ST,9,EDGE,Defense,,,,,,,,,,,,,67.1,72.6,56.5,63.1,377,186,183,8,"6' 3""",278
Owen Hollenbeck,FRESNO ST,75,OT,Offense,63.9,,,,66.3,61.2,734,,,,373,361,,,,,,,,,"6' 6""",310
Rayshon Luke,FRESNO ST,2,RB,Offense,84.2,,86.3,78.1,12.5,57.7,311,,115,149,16,31,,,,,,,,,"5' 10""",180
Ryan Wilson,FRESNO ST,37,S,Defense,,,,,,,,,,,,,73.6,57.9,70.9,78.1,398,171,9,218,"6' 0""",195
Simeon Harris,FRESNO ST,5,CB,Defense,,,,,,,,,,,,,80.8,78.5,61.6,80.7,625,271,16,338,"6' 0""",190
Tariq Thomas,FRESNO ST,27,RB,Offense,64.2,,67.9,41.9,29.3,59.3,273,,133,100,32,8,,,,,,,,,"5' 11""",190
Taylor Powell,FRESNO ST,33,CB,Defense,,,,,,,,,,,,,78.1,90.8,56,70,305,172,5,128,"6' 4""",205
Aidan McCowan,GA SOUTHRN,13,CB,Defense,,,,,,,,,,,,,69.8,72.9,69.9,67.7,525,260,2,263,"5' 11""",170
Anthony Bynum,GA SOUTHRN,4,EDGE,Defense,,,,,,,,,,,,,75.3,80.4,67.3,72.3,774,351,419,4,"6' 3""",255
Brandon Tyson,GA SOUTHRN,1,LB,Defense,,,,,,,,,,,,,58.1,57.6,50.8,62.8,827,402,66,359,"6' 1""",220
Cole Norred,GA SOUTHRN,65,OG,Offense,53.6,,,,63.5,48.2,593,,,,301,292,,,,,,,,,"6' 3""",290
Devin Collier,GA SOUTHRN,29,S,Defense,,,,,,,,,,,,,58.8,44.9,59,68.4,238,119,4,115,"5' 10""",180
Fabo Chaney,GA SOUTHRN,19,CB,Defense,,,,,,,,,,,,,59.4,49.7,56.2,61.1,277,110,2,165,"6' 1""",180
Festus Davies,GA SOUTHRN,9,EDGE,Defense,,,,,,,,,,,,,77.3,75.7,74.1,71.9,346,161,103,82,"6' 2""",235
JP Mikhael,GA SOUTHRN,84,TE,Offense,53.0,,,46.7,75.2,59.1,235,,,66,42,127,,,,,,,,,"6' 3""",235
Jakyri Jones,GA SOUTHRN,6,CB,Defense,,,,,,,,,,,,,84.8,87.1,71.5,83.2,516,243,20,253,"5' 10""",195
Jaquari Brown,GA SOUTHRN,20,CB,Defense,,,,,,,,,,,,,59.3,49.1,53.6,63.1,362,181,4,177,"6' 1""",170
MJ Stroud,GA SOUTHRN,18,EDGE,Defense,,,,,,,,,,,,,74.5,59.2,84.7,66.1,459,209,179,71,"6' 2""",245
Mo Clipper Jr.,GA SOUTHRN,56,OG,Offense,54.8,,,,50.7,53.8,701,,,,421,280,,,,,,,,,"6' 4""",320
Noah Mangham,GA SOUTHRN,38,CB,Defense,,,,,,,,,,,,,84,68.9,95.6,82.5,598,223,1,374,"5' 11""",195
O'marion Brown,GA SOUTHRN,90,DT,Defense,,,,,,,,,,,,,80.3,88.7,67.9,71.5,336,138,196,2,"6' 2""",290
Rashon Myles Jr.,GA SOUTHRN,14,LB,Defense,,,,,,,,,,,,,84.2,90.4,71.3,80,887,367,77,443,"6' 1""",225
Taylor Bradshaw,GA SOUTHRN,15,WR,Offense,54.1,,59.2,54.5,70.5,54.5,295,,1,190,5,99,,,,,,,,,"6' 0""",185
Tracy Hill Jr.,GA SOUTHRN,12,CB,Defense,,,,,,,,,,,,,65,64.1,50.9,65.7,740,350,6,384,"6' 2""",195
Ayden Pereira,GA STATE,2,QB,Offense,77.9,71.9,74.6,30.3,,60.0,740,403,135,3,,199,,,,,,,,,"5' 11""",205
Cameran Brown,GA STATE,8,QB,Offense,79.1,78.0,68.4,,,60.0,384,227,39,,,118,,,,,,,,,"6' 2""",230
Darius Johnson Jr.,GA STATE,12,CB,Defense,,,,,,,,,,,,,58.8,65.4,62.4,56.6,596,296,4,296,"5' 10""",180
Deandre Duffus,GA STATE,56,OG,Offense,59.2,,,,53.3,66.8,488,,,,305,183,,,,,,,,,"6' 4""",330
Derrick Maxey III,GA STATE,21,S,Defense,,,,,,,,,,,,,58.3,54.8,60,61.1,284,143,1,140,"5' 11""",170
Deuce Lee,GA STATE,8,S,Defense,,,,,,,,,,,,,78,80,77.4,75.5,755,325,8,422,"5' 11""",195
Deuce Walker,GA STATE,7,CB,Defense,,,,,,,,,,,,,66.9,79.7,40.6,63.3,509,254,8,247,"5' 10""",190
Donovan Funsch,GA STATE,52,OG,Offense,62.1,,,,63.7,61.5,617,,,,383,234,,,,,,,,,"6' 6""",320
Gareth Warren,GA STATE,78,OT,Offense,66.5,,,,73.3,62.1,828,,,,419,409,,,,,,,,,"6' 7""",320
Grant Hollier,GA STATE,85,TE,Offense,59.3,,,64.8,70.5,35.8,300,,,233,8,59,,,,,,,,,"6' 3""",225
Josiah Robinson,GA STATE,25,LB,Defense,,,,,,,,,,,,,68.6,69.7,61.6,62.9,800,403,54,343,"5' 10""",215
Owen Dupree,GA STATE,7,WR,Offense,67.6,,,67.9,61.9,56.9,363,,,201,1,161,,,,,,,,,"6' 3""",190
Savion Hart,GA STATE,28,RB,Offense,76.3,,76.3,71.6,54.3,52.6,420,,172,163,44,41,,,,,,,,,"5' 9""",190
Toby Bolton,GA STATE,11,CB,Defense,,,,,,,,,,,,,53,51.7,,54.6,246,92,,154,"5' 10""",185
Tre Mittman,GA STATE,15,S,Defense,,,,,,,,,,,,,59.3,73.3,54.1,50.7,758,355,18,385,"6' 1""",205
Tyhler Williams,GA STATE,54,OG,Offense,50.7,,,,54.1,51.1,888,,,,566,322,,,,,,,,,"6' 2""",315
Brayden Manley,GA TECH,11,EDGE,Defense,,,,,,,,,,,,,66.8,64.1,69.6,54.6,347,129,196,22,"6' 2""",250
Cayman Spaulding,GA TECH,1,LB,Defense,,,,,,,,,,,,,58.5,71.2,69.5,44.2,322,107,50,165,"6' 0""",225
Chris Corbo,GA TECH,17,TE,Offense,85.3,,,84.8,75.8,68.2,569,,,248,48,273,,,,,,,,,"6' 5""",250
Daiquan White,GA TECH,4,CB,Defense,,,,,,,,,,,,,65,70.2,49,64.4,288,119,8,161,"5' 10""",185
E.J. Lightsey,GA TECH,2,LB,Defense,,,,,,,,,,,,,68.6,76.5,48.8,61.1,671,292,51,328,"6' 2""",230
Gavin Harris,GA TECH,8,TE,Offense,62.0,,,63.9,54.2,54.3,715,,,440,76,199,,,,,,,,,"6' 3""",245
Isaiah Fuhrmann,GA TECH,13,WR,Offense,78.6,,63.2,78.5,,69.5,611,,1,349,,261,,,,,,,,,"6' 4""",210
Jonas Duclona,GA TECH,14,CB,Defense,,,,,,,,,,,,,74.7,45.1,90.1,79.2,581,246,8,327,"5' 11""",190
Jordan Walker,GA TECH,10,EDGE,Defense,,,,,,,,,,,,,67.1,67.9,63.8,82.4,337,135,182,20,"6' 4""",275
Jordan van den Berg,GA TECH,99,DT,Defense,,,,,,,,,,,,,75,81.2,62.2,58.6,553,235,318,0,"6' 3""",310
Justice Haynes,GA TECH,22,RB,Offense,81.1,,83.5,57.8,53.3,56.6,286,,124,102,42,18,,,,,,,,,"5' 11""",210
Kelvin Hill,GA TECH,6,CB,Defense,,,,,,,,,,,,,61.6,60.1,54.3,62.3,408,141,19,248,"5' 10""",195
Kyle Efford,GA TECH,44,LB,Defense,,,,,,,,,,,,,64.3,71.7,64.3,52.5,578,280,34,264,"6' 2""",225
Malachi Hosley,GA TECH,0,RB,Offense,79.5,,86.2,64.0,38.8,56.3,370,,96,157,29,88,,,,,,,,,"5' 10""",200
Matthew Alexander,GA TECH,33,DT,Defense,,,,,,,,,,,,,67,68.1,63.3,60.6,395,173,222,0,"6' 3""",290
Spencer Mermans,GA TECH,42,TE,Offense,91.3,,,56.0,73.1,82.2,230,,,22,23,185,,,,,,,,,"6' 6""",260
Zachary Tobe,GA TECH,5,CB,Defense,,,,,,,,,,,,,64.1,67.8,64.4,62.3,418,180,6,232,"6' 2""",200
Chauncey Bowens,GEORGIA,5,RB,Offense,78.1,,78.8,66.8,87.7,56.9,277,,103,119,27,28,,,,,,,,,"5' 11""",225
Christen Miller,GEORGIA,52,DT,Defense,,,,,,,,,,,,,84.5,90.2,70,61.9,437,193,244,0,"6' 4""",310
Dante Dowdell,GEORGIA,22,RB,Offense,72.3,,74.5,56.7,64.6,44.5,278,,117,101,40,20,,,,,,,,,"6' 2""",225
Demello Jones,GEORGIA,8,CB,Defense,,,,,,,,,,,,,64.7,82,55.4,62.2,374,145,2,227,"6' 1""",185
Dontrell Glover,GEORGIA,63,OG,Offense,64.7,,,,74.8,62.6,766,,,,392,374,,,,,,,,,"6' 3""",320
Drew Bobo,GEORGIA,74,C,Offense,74.1,,,,76.3,71.6,721,,,,376,345,,,,,,,,,"6' 5""",305
Earnest Greene III,GEORGIA,76,OT,Offense,67.2,,,,70.1,64.7,709,,,,390,319,,,,,,,,,"6' 4""",322
Elijah Griffin,GEORGIA,90,DT,Defense,,,,,,,,,,,,,71.6,73.1,66.6,60,363,144,219,0,"6' 4""",310
Ellis Robinson IV,GEORGIA,1,CB,Defense,,,,,,,,,,,,,69.1,74.9,,68.3,499,181,,318,"6' 0""",180
Gabe Harris Jr.,GEORGIA,0,EDGE,Defense,,,,,,,,,,,,,65.4,63.7,63.3,61.5,443,176,258,9,"6' 4""",260
Gunner Stockton,GEORGIA,14,QB,Offense,81.1,80.7,64.2,54.6,62.2,60.0,954,495,69,2,1,387,,,,,,,,,"6' 1""",215
Isiah Canion,GEORGIA,6,WR,Offense,66.8,,,66.0,,69.3,567,,,297,,270,,,,,,,,,"6' 4""",205
Joseph Jonah-Ajonye,GEORGIA,99,EDGE,Defense,,,,,,,,,,,,,66,66.7,60.1,63.2,326,126,199,1,"6' 4""",275
Juan Gaston,GEORGIA,73,OG,Offense,58.8,,,,51.8,58.5,496,,,,254,242,,,,,,,,,"6' 7""",360
KJ Bolden,GEORGIA,4,S,Defense,,,,,,,,,,,,,85.9,91.3,70.2,82.3,725,284,2,439,"6' 0""",195
Lawson Luckie,GEORGIA,7,TE,Offense,59.8,,,55.8,78.0,64.6,529,,,212,42,275,,,,,,,,,"6' 4""",240
London Humphreys,GEORGIA,16,WR,Offense,61.5,,63.0,60.1,,66.7,470,,1,223,,246,,,,,,,,,"6' 2""",200
