name,team,number,position,side,off_grade_off,off_grade_pass,off_grade_run,off_grade_recv,off_grade_pblk,off_grade_rblk,off_snaps_off,off_snaps_pass,off_snaps_run,off_snaps_recv,off_snaps_pblk,off_snaps_rblk,def_grade_def,def_grade_rdef,def_grade_prush,def_grade_cov,def_snaps_def,def_snaps_rdef,def_snaps_prush,def_snaps_cov,height,weight
Braydon Brus,NWESTERN,33,LB,Defense,,,,,,,,,,,,,61.7,66.3,74.1,50.7,740,351,41,348,"6' 1""",230
Brenden Deasfernandes,NWESTERN,3,CB,Defense,,,,,,,,,,,,,73.1,53.5,59.2,76.1,631,255,1,375,"6' 2""",195
Caleb Komolafe,NWESTERN,5,RB,Offense,75.9,,76.9,55.6,67.5,50.1,415,,192,136,69,18,,,,,,,,,"5' 11""",210
Carmine Bastone,NWESTERN,1,DT,Defense,,,,,,,,,,,,,70.5,71.1,65.8,56.6,455,221,231,3,"6' 2""",300
Drew Wagner,NWESTERN,19,WR,Offense,64.8,,63.4,64.4,,60.0,254,,2,120,,131,,,,,,,,,"5' 10""",185
Ezomo Oratokhai,NWESTERN,62,OG,Offense,72.3,,,,80.7,70.6,835,,,,430,405,,,,,,,,,"6' 4""",310
Gavin Sawchuk,NWESTERN,27,RB,Offense,74.8,,80.8,52.9,55.4,67.2,403,,110,149,95,49,,,,,,,,,"6' 0""",205
Griffin Wilde,NWESTERN,17,WR,Offense,79.8,,63.2,80.2,,62.8,669,,1,392,,276,,,,,,,,,"6' 2""",200
Hayden Eligon II,NWESTERN,8,WR,Offense,74.5,,,73.9,62.1,71.2,563,,,308,1,254,,,,,,,,,"6' 4""",210
Jackson Carsello,NWESTERN,65,C,Offense,78.1,,,,78.2,76.2,840,,,,434,406,,,,,,,,,"6' 4""",300
Jamaal Johnson,NWESTERN,24,EDGE,Defense,,,,,,,,,,,,,68.5,78.5,59.5,44.2,255,139,105,11,"6' 2""",240
Joseph Himon II,NWESTERN,6,RB,Offense,78.7,,82.2,65.8,21.7,56.3,255,,103,119,19,14,,,,,,,,,"5' 9""",190
Josh Fussell,NWESTERN,13,CB,Defense,,,,,,,,,,,,,62.5,50.9,65.3,65.8,504,237,7,260,"6' 0""",195
Kobie McKinzie,NWESTERN,2,LB,Defense,,,,,,,,,,,,,61.6,70,55.2,54,331,143,58,130,"6' 2""",235
Michael Kilbane,NWESTERN,47,EDGE,Defense,,,,,,,,,,,,,84,77.8,80.8,63.5,491,232,254,5,"6' 5""",275
Montae Pate,NWESTERN,4,CB,Defense,,,,,,,,,,,,,72.5,76.7,54.3,71.5,792,362,12,418,"6' 2""",175
Najee Story,NWESTERN,95,DT,Defense,,,,,,,,,,,,,68.5,66.8,61.7,65.6,401,205,194,2,"6' 4""",300
Ore Adeyi,NWESTERN,7,CB,Defense,,,,,,,,,,,,,62.4,51.4,60,64.1,347,145,1,201,"5' 11""",195
Ricky Ahumaraeze,NWESTERN,10,WR,Offense,64.1,,,63.0,79.9,64.7,302,,,151,3,148,,,,,,,,,"6' 4""",210
Robert Fitzgerald,NWESTERN,6,S,Defense,,,,,,,,,,,,,77.9,90.2,57.8,65.1,725,343,10,372,"6' 0""",210
Barry Dillon,OHIO,8,CB,Defense,,,,,,,,,,,,,69.4,56.4,60,72.1,543,211,1,331,"6' 1""",198
CJ Dawson II,OHIO,55,OG,Offense,61.8,,,,80.2,56.7,627,,,,336,291,,,,,,,,,"6' 2""",327
Cam Cope,OHIO,24,CB,Defense,,,,,,,,,,,,,66.9,57,60,68.6,703,368,1,334,"5' 11""",188
