player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
JP Benzschawel,145164,G,WISCONSIN,9,98.3,0,349,68.0,82.7,71.3,0,0,14,100.0,93.8,100.0,1,0,0,57,0,9,0,58,15,16,41,0,42,8
Trent Battle,144683,HB,TCU,7,33.5,0,305,59.1,79.1,52.4,0,0,20,22.0,20.6,100.0,0,0,0,57,0,0,0,170,20,97,0,0,37,0
Jim Bonifas,144544,C,IOWA STATE,8,100.0,0,193,73.9,81.6,69.0,0,0,15,100.0,100.0,100.0,0,0,0,57,44,0,0,57,15,15,4,0,42,9
Jayven Richardson,184485,T,MISSOURI,3,100.0,0,229,68.0,61.2,78.0,0,0,19,100.0,100.0,100.0,2,0,0,57,0,0,57,57,21,21,0,0,36,0
Kaleb Johnson,156419,HB,IOWA,12,12.7,0,192,86.5,38.5,56.8,1,1,36,19.7,20.2,97.2,0,2,0,57,0,0,0,450,38,188,0,0,19,0
Caleb Ryan,176261,TE,LIBERTY,6,85.1,0,206,68.2,65.4,72.2,0,0,1,10.0,9.1,100.0,0,0,0,57,0,0,0,67,1,11,0,0,56,58
Tahj Bullock,144070,QB,AKRON,12,28.6,0,102,71.1,,61.2,0,0,0,0.0,0.0,,0,0,0,57,0,0,0,199,0,89,0,0,57,13
Johnnie Daniels,184755,HB,MISS STATE,12,18.8,0,227,70.3,59.8,68.1,0,0,35,21.3,22.3,97.1,0,1,1,57,0,0,0,304,40,179,0,0,17,0
Daniel Blood,175899,WR,MISSOURI,12,47.1,0,229,59.2,,46.0,0,0,0,0.0,0.0,,0,0,0,57,0,0,0,121,0,64,0,0,57,1
Jarian Shelby,164127,T,OHIO,5,100.0,1,259,49.3,40.0,52.1,1,2,19,100.0,100.0,92.1,2,3,0,56,0,0,0,56,26,26,0,56,30,0
