player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Stephiylan Green,170008,DI,CLEMSON,1,0,0,,0,0,140,0,0,,65.4,0.0,69.4,67.8,70.8,0,0,0,0,,,0,0,1,0.0,0,1,0,0,0,0,22,22,3,11,0,8,0,0,15,7,0,1,0,0,0,1,0,0,0,,6
Ronan Hanafin,170009,S,CLEMSON,1,1,0,,0,0,140,0,0,54.1,59.6,74.2,,69.5,51.1,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,3,0,18,24,1,0,0,1,0,17,23,0,6,3,1,2,0,0,0,0,0,0,,6
Misun Kelley,170014,CB,CLEMSON,1,0,0,80.0,0,0,140,0,0,66.7,69.1,77.7,67.2,60.9,39.1,1,0,0,0,8.0,33.3,1,0,0,85.8,4,0,0,2,0,19,28,1,0,0,1,0,0,27,2,7,25,0,2,0,5,1,0,23,23,5.8,6
T.J. Parker,170021,ED,CLEMSON,1,0,0,0.0,0,0,140,0,0,78.2,78.5,77.6,72.6,59.3,76.7,1,4,0,0,,0.0,0,0,0,39.6,0,0,0,0,0,4,34,34,0,2,27,5,0,0,21,9,0,3,3,2,1,5,0,0,0,,6
Branden Strozier,170028,CB,CLEMSON,1,0,0,0.0,0,0,140,0,0,68.0,63.7,0.0,,60.0,76.4,0,0,0,0,,0.0,0,0,1,39.6,0,0,0,1,26,23,28,0,0,0,0,0,0,28,0,5,1,1,1,0,1,0,0,0,0,,6
Avieon Terrell,170031,CB,CLEMSON,1,0,0,100.0,0,1,140,0,0,71.4,75.8,74.7,72.5,72.5,78.0,1,0,0,0,4.0,0.0,0,0,0,83.3,1,0,0,6,28,26,38,1,0,0,1,0,0,37,2,10,3,1,2,0,1,1,0,4,1,4.0,6
Peter Woods,170034,DI,CLEMSON,1,0,0,,0,0,140,0,0,,73.7,74.8,74.3,60.9,69.7,0,1,0,0,,,0,0,0,0.0,0,0,0,2,0,0,29,27,3,19,0,5,0,2,23,6,0,0,0,0,0,1,0,0,0,,6
Desmond Aladuge,170036,DI,DUKE,1,0,0,,0,0,154,0,0,,60.6,67.4,59.8,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,6
David Anderson,170037,DI,DUKE,1,0,0,,0,0,154,0,0,,58.7,72.7,55.6,62.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,16,16,0,16,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,,6
Leon Griffin III,170047,S,DUKE,1,0,0,,0,0,154,0,0,60.0,60.0,68.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,3,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,,6
Moussa Kane,170053,CB,DUKE,1,0,0,0.0,0,0,154,0,0,74.9,61.6,72.0,54.5,60.0,,0,0,0,1,,,0,0,0,0.0,0,0,0,2,3,6,10,1,0,0,1,0,0,9,2,2,4,0,0,0,1,0,0,0,0,,6
Luke Mergott,170056,LB,DUKE,1,1,0,66.7,0,0,154,0,0,62.4,64.7,77.4,64.3,63.8,82.5,1,0,0,0,22.0,0.0,0,0,0,84.0,4,0,0,54,0,37,66,3,0,0,3,0,2,63,6,23,7,3,6,1,6,1,0,38,11,9.5,6
Kevin O'Connor,170057,ED,DUKE,1,0,0,,0,0,154,0,0,60.0,57.0,72.5,55.4,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,8,8,0,0,8,0,0,0,6,1,0,0,0,0,0,0,0,0,0,,6
Kimari Robinson,170058,CB,DUKE,1,3,0,50.0,0,0,154,0,0,63.5,66.3,76.6,56.2,74.2,64.0,0,0,0,0,29.0,12.5,1,0,1,87.5,3,0,0,6,45,38,58,0,0,0,0,0,0,58,2,18,7,1,4,0,6,0,0,63,16,21.0,6
Terry Simmons Jr.,170059,DI,DUKE,1,0,0,,0,0,154,0,0,,59.2,70.1,57.0,60.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,,6
DaShawn Stone,170060,S,DUKE,1,1,0,100.0,0,0,154,0,0,52.1,48.1,76.0,60.0,44.9,32.7,0,0,0,0,19.0,33.3,3,0,0,118.1,3,0,0,14,1,32,50,0,0,0,0,0,31,50,1,17,4,2,5,0,3,0,0,37,4,12.3,6
Semaj Turner,170061,ED,DUKE,1,0,0,,0,0,154,0,0,60.3,45.0,0.0,57.7,60.1,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,2,7,7,0,0,7,0,0,0,2,3,0,0,0,0,0,0,0,0,0,,6
Ezra Odinjor,170074,ED,UAB,1,0,0,,0,0,321,0,0,,53.6,78.4,62.4,51.1,,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,48,48,0,2,29,17,0,0,6,42,0,0,0,0,0,2,0,0,0,,6
Rueben Bain Jr.,170082,ED,MIAMI FL,1,2,0,,0,0,220,0,0,62.7,82.1,0.0,85.5,70.8,78.3,2,8,0,0,,14.3,1,0,2,0.0,0,0,0,0,0,0,77,77,0,1,64,12,0,0,54,23,0,2,4,0,0,10,0,0,0,,6
Kaleb Spencer,170093,LB,VA TECH,1,0,0,50.0,0,0,337,0,0,62.8,66.0,0.0,69.1,72.1,82.4,0,0,0,0,62.0,0.0,0,0,1,95.8,1,0,0,50,0,31,61,5,0,0,5,0,0,56,7,23,6,3,7,0,2,0,0,62,50,62.0,6
Jayden Wayne,170098,ED,CAL,1,0,0,,0,0,130,0,0,,55.2,79.5,62.1,49.5,23.0,0,2,0,0,,66.7,2,0,0,0.0,0,1,0,1,0,0,55,54,0,4,40,10,0,1,29,26,0,2,1,0,0,3,0,0,0,,6
Amare Campbell,170102,LB,PENN STATE,1,3,0,83.3,0,0,266,0,0,38.6,52.9,77.7,68.1,66.4,69.8,0,1,0,0,10.0,9.1,1,0,0,84.7,5,1,0,61,0,29,79,4,0,0,4,0,0,75,8,42,14,7,7,2,6,2,0,26,11,5.2,6
Tyler Thompson,170111,ED,N CAROLINA,1,0,0,,0,0,245,0,0,,63.4,76.9,59.3,64.0,75.7,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,21,20,0,0,20,0,0,1,10,11,0,1,2,0,0,2,0,0,0,,6
Thomas Aden,170112,DI,KENT STATE,1,2,0,,0,0,201,0,0,,56.4,73.5,61.3,54.6,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,22,22,1,20,0,1,0,0,10,12,0,0,1,0,0,0,0,0,0,,6
Abe Ibrahim,170117,LB,PITTSBURGH,1,1,0,,0,0,268,0,0,61.0,71.3,72.9,56.4,74.6,80.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,3,16,1,0,0,1,0,0,15,3,10,3,1,4,1,0,0,0,0,0,,6
Braylan Lovelace,170119,LB,PITTSBURGH,1,1,0,100.0,0,0,268,0,0,44.9,49.6,75.2,54.8,66.5,37.4,1,1,0,0,23.0,50.0,1,0,0,118.8,1,0,0,33,0,8,33,0,0,0,0,0,0,33,15,10,0,0,0,0,1,2,0,23,6,23.0,6
Isaiah Neal,170121,ED,PITTSBURGH,1,0,0,100.0,0,0,268,0,0,53.6,52.2,0.0,57.4,66.3,33.9,1,0,0,0,2.0,50.0,1,0,1,79.2,2,0,0,1,0,4,27,26,0,0,25,1,0,1,15,8,0,0,1,0,2,1,0,-1,8,-0.5,6
John Nestor,170169,CB,MINNESOTA,1,1,0,85.7,0,0,225,0,0,50.1,48.3,77.1,,47.9,32.7,0,0,0,0,16.0,37.5,3,1,0,134.2,6,0,0,4,47,29,55,2,0,0,2,0,0,53,0,26,2,1,4,1,7,0,2,47,2,7.8,6
Anterio Thompson,170176,DI,WASHINGTON,1,0,1,,0,0,340,0,0,61.8,66.8,75.3,56.9,68.7,28.8,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,1,0,0,36,35,1,30,0,4,0,1,27,9,0,3,3,0,0,0,0,0,0,,6
Neeo Avery,170182,ED,MARYLAND,1,0,0,,0,0,215,0,0,,50.9,75.8,59.9,48.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,0,0,15,0,0,0,10,5,0,0,0,0,0,1,0,0,0,,6
Dillan Fontus,170192,DI,MARYLAND,1,0,0,,0,0,215,0,0,,66.7,76.7,65.7,63.2,,1,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,49,49,1,42,4,2,0,0,31,18,0,0,0,0,0,3,0,0,0,,6
Kevis Thomas,170207,CB,KENTUCKY,1,0,0,,0,0,202,0,0,60.0,62.9,67.2,,61.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,2,1,7,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,,6
Daniel Wingate,170212,LB,MARYLAND,1,4,0,66.7,0,0,215,0,0,45.8,58.4,78.6,54.8,82.0,48.8,0,0,0,0,21.0,18.8,3,1,0,82.6,6,0,0,58,1,46,76,7,0,0,7,0,1,69,5,25,9,6,9,0,9,0,0,54,40,9.0,6
Dwight Bootle,170218,CB,CHARLOTTE,1,1,0,33.3,0,0,136,1,0,68.8,71.5,77.1,,73.9,81.8,0,0,0,0,15.0,0.0,0,1,0,46.5,2,0,0,3,66,30,70,1,0,0,1,0,0,69,0,40,0,1,4,0,6,0,0,24,0,12.0,6
Vincent Carroll-Jackson,170219,DI,UCONN,1,0,0,,0,0,146,0,0,61.1,65.4,75.6,54.5,67.4,35.0,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,36,36,11,21,0,4,0,0,18,18,0,2,2,0,0,0,0,0,0,,6
Korver Demma,170222,ED,C MICHIGAN,1,0,0,0.0,0,0,134,0,0,70.4,56.1,78.2,47.6,55.4,26.8,0,1,0,0,,50.0,2,1,0,39.6,0,0,0,3,0,2,26,23,0,0,23,0,0,3,10,14,0,1,2,1,1,1,0,0,0,,6
Cameron Lenhardt,170232,ED,NEBRASKA,1,0,0,,0,0,238,0,0,60.6,65.9,75.2,60.9,64.7,74.2,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,32,32,1,10,12,9,0,0,20,10,0,3,2,0,0,3,0,0,0,,6
Riley Van Poppel,170246,DI,NEBRASKA,1,0,0,,0,0,238,0,0,,59.1,75.8,55.1,61.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,40,40,8,23,0,9,0,0,19,21,0,0,0,0,0,0,0,0,0,,6
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,0,0,50.0,0,0,260,0,0,73.1,66.4,77.4,59.2,38.6,76.6,0,0,0,0,10.0,0.0,0,1,0,64.6,1,0,0,4,30,26,46,2,0,0,2,0,4,44,1,19,6,1,2,1,2,0,0,10,2,10.0,6
Kayden McDonald,170258,DI,OHIO STATE,1,0,0,,0,0,260,0,0,,58.1,73.9,55.4,60.8,43.3,0,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,24,24,2,20,0,2,0,0,14,10,0,3,3,1,0,1,0,0,0,,6
Joshua Mickens,170259,ED,OHIO STATE,1,0,0,,0,0,260,0,0,,55.2,70.7,,56.1,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,6,6,0,2,3,1,0,0,0,6,0,0,1,0,0,0,0,0,0,,6
Arvell Reese,170264,LB,OHIO STATE,1,0,0,100.0,0,0,260,0,0,63.8,66.2,79.4,63.4,63.5,77.0,1,1,0,0,4.0,0.0,0,0,0,83.3,1,1,0,19,0,14,41,21,0,0,21,0,0,20,11,16,1,2,2,0,1,3,0,4,1,4.0,6
Will Smith Jr.,170271,DI,OHIO STATE,1,0,0,,0,0,260,0,0,,65.1,73.9,61.6,64.2,71.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,22,22,5,16,0,1,0,0,10,12,0,2,2,0,0,0,0,0,0,,6
Ty Blanding,170277,DI,PENN STATE,1,0,0,,0,0,266,0,0,,59.4,71.7,63.3,56.6,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,11,11,0,10,1,0,0,0,7,4,0,0,0,0,0,1,0,0,0,,6
Kolin Dinkins,170280,S,PENN STATE,1,0,0,,0,0,266,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,6
King Mack,170287,S,PENN STATE,1,4,0,33.3,0,0,266,0,0,56.2,57.2,83.4,60.0,59.8,63.8,0,0,0,0,3.0,15.4,2,0,0,42.4,1,0,0,19,0,24,55,0,0,0,0,0,32,55,1,30,3,1,7,0,3,0,0,3,0,3.0,6
Joseph Mupoyi,170289,ED,N CAROLINA,1,1,0,,0,0,245,0,0,,63.1,75.3,54.3,67.5,75.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,15,15,0,0,13,2,0,0,7,8,0,1,1,0,0,0,0,0,0,,6
Da'Kaari Nelson,170290,LB,PENN STATE,1,0,0,,0,0,266,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,6
Zion Tracy,170301,S,PENN STATE,1,0,0,100.0,0,0,266,0,0,56.0,52.7,76.4,59.5,49.8,50.1,0,0,0,0,24.0,25.0,1,0,0,158.3,3,0,0,4,0,14,29,2,0,0,2,0,5,27,1,14,18,2,3,0,3,0,1,41,12,13.7,6
Elliot Washington II,170303,CB,PENN STATE,1,1,0,66.7,0,0,266,0,0,53.2,57.1,74.6,,68.3,81.4,0,0,0,0,43.0,0.0,0,0,0,109.7,2,0,0,3,32,15,37,0,0,0,0,0,0,37,0,22,1,1,4,0,3,0,0,49,2,24.5,6
Jace Arnold,170321,S,SM HOUSTON,1,0,0,50.0,0,0,281,0,0,66.0,62.8,76.7,,54.0,78.0,0,0,0,0,6.0,0.0,0,0,0,56.3,1,0,0,6,0,12,23,1,0,0,1,0,2,22,0,11,14,1,2,0,2,0,0,6,0,6.0,6
Jonas Duclona,170322,CB,USF,1,0,0,0.0,0,0,327,0,0,65.3,59.0,72.6,,46.4,20.7,0,0,0,0,,100.0,1,0,0,39.6,0,0,0,3,15,12,19,0,0,0,0,0,0,19,0,7,1,0,0,0,1,0,0,0,0,,6
Lamont Green Jr.,170337,ED,FIU,1,0,0,,0,0,166,0,0,,62.4,71.7,55.3,64.9,23.9,0,2,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,4,4,0,0,0,0,0,2,0,0,0,,6
Donny Hiebert,170338,S,FLORIDA ST,1,0,0,,0,0,167,0,0,60.0,60.0,64.7,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,6
Conrad Hussey,170340,CB,OREGON ST,1,0,0,,0,0,265,0,0,61.2,64.6,73.7,,65.1,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,3,11,0,0,0,0,0,1,11,0,8,9,0,1,0,0,0,0,0,0,,6
Jaden Jones,170343,ED,FLORIDA ST,1,0,0,,0,0,167,0,0,,60.5,70.0,59.6,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,6
Edwin Joseph,170344,S,FLORIDA ST,1,2,0,50.0,1,0,167,0,0,42.5,47.2,78.8,60.0,63.0,77.4,0,0,0,0,24.0,0.0,0,0,1,113.5,2,0,0,14,0,26,50,2,0,0,2,0,4,48,1,23,30,0,0,0,4,0,1,29,33,14.5,6
K.J. Kirkland,170345,S,FLORIDA ST,1,0,0,100.0,0,0,167,0,0,62.1,63.0,73.8,58.1,63.6,81.1,0,0,0,0,6.0,0.0,0,0,0,89.6,2,0,0,24,0,18,38,0,0,0,0,0,12,38,2,18,2,1,4,1,2,0,0,11,10,5.5,6
Blake Nichelson,170350,LB,FLORIDA ST,1,2,0,100.0,0,0,167,0,0,58.5,65.8,74.8,76.4,64.3,80.4,0,1,0,0,8.0,0.0,0,0,0,95.8,2,0,0,17,0,15,26,4,0,0,4,0,0,22,2,9,5,2,3,0,2,1,0,14,14,7.0,6
Ja'Bril Rawls,170353,CB,FLORIDA ST,1,2,0,100.0,0,0,167,0,0,62.1,59.4,77.5,,52.0,32.3,0,0,0,0,9.0,37.5,3,0,0,95.8,2,0,0,10,46,31,61,5,0,0,5,0,0,56,0,30,0,0,3,0,2,0,0,14,15,7.0,6
DeMarco Ward,170359,S,MEMPHIS,1,1,0,80.0,0,0,218,0,0,64.2,66.8,76.3,,70.2,83.9,0,0,0,0,15.0,0.0,0,0,0,95.0,4,0,0,37,0,34,58,0,0,0,0,0,7,58,0,24,13,1,5,0,5,0,0,34,12,8.5,6
Red Hibbler,170370,ED,MISS STATE,1,2,0,,0,0,227,0,0,,79.3,74.9,68.0,76.8,76.3,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,25,25,0,0,15,10,0,0,7,18,0,2,2,0,0,2,0,0,0,,6
Isaiah Shirley,170380,DI,NC STATE,1,0,0,,0,0,248,0,0,,56.1,73.4,64.3,52.8,16.2,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,17,17,3,13,0,1,0,0,8,9,0,0,0,0,0,0,0,0,0,,6
David Omopariola,170386,ED,SYRACUSE,1,1,0,100.0,0,0,304,0,0,73.9,60.2,77.5,62.4,48.9,40.2,0,0,0,0,4.0,28.6,2,0,0,83.3,1,0,1,2,0,4,27,24,0,0,24,0,0,3,9,14,1,3,4,1,1,0,0,4,2,4.0,6
Quaylen Hill,170401,DI,FIU,1,1,0,,0,0,166,0,0,,55.6,74.5,55.4,57.2,71.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,25,25,6,12,0,7,0,0,12,13,0,0,0,0,0,0,0,0,0,,6
Geimere Latimer II,170426,CB,WISCONSIN,1,1,0,66.7,0,0,349,0,0,49.8,52.6,77.3,58.3,66.2,47.6,0,1,0,0,25.0,25.0,1,0,0,99.3,2,0,0,4,0,22,40,0,0,0,0,0,0,40,2,16,36,0,2,0,3,1,0,30,12,15.0,6
Zechariah Poyser,170434,S,MIAMI FL,1,0,0,100.0,0,1,220,0,0,60.2,66.5,78.1,,80.9,53.5,0,0,0,0,11.0,22.2,2,0,0,106.3,2,0,0,4,0,40,64,0,0,0,0,0,53,64,0,24,7,3,7,0,2,0,0,19,11,9.5,6
Kekoura Tarnue,170438,S,W VIRGINIA,1,0,0,50.0,0,0,343,0,0,64.5,66.5,70.4,,64.6,78.9,0,0,0,0,20.0,0.0,0,0,0,85.4,1,0,0,11,0,7,22,0,0,0,0,0,4,22,0,15,6,0,3,0,2,0,0,20,13,20.0,6
David Blay Jr.,170449,DI,MIAMI FL,1,1,0,,0,0,220,0,0,,64.6,82.3,57.9,66.4,21.5,0,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,49,49,45,4,0,0,0,0,26,23,0,0,0,0,0,1,0,0,0,,6
Zeke Durham-Campbell,170456,ED,COAST CAR,1,1,0,,0,0,141,0,0,,76.7,78.0,71.0,72.9,76.1,1,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,42,42,0,0,40,2,0,0,22,20,0,2,1,0,0,4,0,0,0,,6
Obinna Okeke,170464,ED,NEW MEX ST,1,0,0,,0,0,242,0,0,60.0,64.9,71.9,64.8,60.0,,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,1,7,7,0,0,7,0,0,0,5,1,0,0,0,0,0,2,0,0,0,,6
Sam Brumfield,170479,LB,MEMPHIS,1,2,0,100.0,0,0,218,0,0,47.2,58.4,73.8,57.3,74.5,76.4,0,0,0,0,9.0,0.0,0,0,0,97.9,2,0,0,27,0,14,29,1,0,0,1,0,0,28,2,13,0,2,2,2,2,0,0,15,14,7.5,6
Dimitri Madden,170514,DI,AKRON,1,0,0,,0,0,102,0,0,,63.9,68.9,60.0,61.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,1,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,,6
Maddox Marcellus,170594,LB,VIRGINIA,1,3,0,75.0,0,0,335,0,0,62.2,61.0,73.8,58.4,57.2,60.4,1,2,0,0,14.0,14.3,1,0,0,85.4,3,0,0,27,3,24,36,0,0,0,0,0,0,36,6,6,6,2,3,0,4,3,0,20,24,6.7,6
Jon Johnson,170699,CB,NEW MEXICO,1,0,0,100.0,0,0,241,0,0,57.0,59.8,77.2,,68.7,81.3,0,0,0,0,35.0,0.0,0,0,0,114.6,6,0,0,3,60,29,64,1,0,0,1,0,0,63,0,35,0,2,6,0,6,0,0,69,5,11.5,6
Alex McLaughlin,170717,S,WASHINGTON,1,2,0,66.7,0,0,340,0,0,53.0,56.2,77.3,59.3,65.5,70.8,0,0,0,0,29.0,10.0,1,0,0,91.7,4,0,0,18,0,51,70,2,0,0,2,0,39,68,1,18,11,1,7,0,6,0,0,49,33,12.3,6
Michael Jordan Jr.,170734,DI,FRESNO ST,1,2,0,,0,0,169,0,0,,69.4,73.2,63.9,67.5,74.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,0,20,0,0,0,0,10,10,0,1,2,0,0,0,0,0,0,,6
Matthew Traynor,170914,S,WISCONSIN,1,0,0,0.0,0,0,349,0,0,60.0,60.0,63.7,,,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,6
TJ McGill,170943,S,JAMES MAD,1,0,0,,0,0,197,0,0,60.0,64.4,66.2,,62.8,74.8,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,1,4,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,,6
Jack Bousum,170962,ED,ARMY,1,0,0,,0,0,114,0,0,,50.8,75.9,53.4,52.2,23.1,0,3,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,42,42,0,3,12,27,0,0,29,13,0,0,0,0,0,3,0,0,0,,6
Jaxon Hammond,170978,CB,ARMY,1,0,0,75.0,0,0,114,0,0,70.4,70.8,71.1,,,77.1,0,0,0,0,12.0,0.0,0,0,0,88.5,3,0,0,2,12,14,14,0,0,0,0,0,0,14,0,0,0,1,2,0,4,0,0,23,3,7.7,6
Tano Letuli,170988,LB,S DIEGO ST,1,1,0,,0,0,284,0,0,62.9,70.5,73.4,,71.3,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,9,0,8,15,3,0,0,3,0,0,12,0,7,3,0,0,0,0,0,0,0,0,,6
Elo Modozie,170992,ED,GEORGIA,1,0,0,,0,0,173,0,0,,64.3,71.8,63.6,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,6
Baylor Newsom,170996,LB,ARMY,1,1,0,100.0,0,0,114,0,0,56.8,51.8,70.2,58.8,54.2,78.0,0,0,0,0,11.0,0.0,0,0,0,112.5,1,0,0,12,0,7,13,0,0,0,0,0,0,13,2,4,1,0,1,0,1,0,0,11,10,11.0,6
Noah Nixon,170997,ED,ARMY,1,0,0,0.0,0,0,114,0,0,62.2,60.6,74.6,56.3,60.0,,0,1,0,0,,,0,0,0,39.6,0,0,0,0,0,5,11,11,0,0,11,0,0,0,5,1,0,0,0,0,1,1,0,0,0,,6
Stephen Nnadozie,170998,S,ARMY,1,1,0,100.0,0,0,114,0,0,58.0,59.9,74.7,,63.2,79.2,0,0,0,0,19.0,0.0,0,0,0,118.8,1,0,0,3,0,17,21,0,0,0,0,0,14,21,0,4,4,0,2,0,1,0,0,19,0,19.0,6
Dillon Stowers,171019,DI,ARMY,1,1,0,,0,0,114,0,0,,69.1,72.5,67.1,62.5,71.3,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,17,17,2,4,0,11,0,0,14,3,0,0,0,0,0,3,0,0,0,,6
Christian Yousefzadeh,171032,ED,ARMY,1,0,0,,0,0,114,0,0,61.3,64.4,75.0,63.4,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,13,13,0,0,13,0,0,0,6,4,0,0,0,0,0,0,0,0,0,,6
Cam Chadwick Jr.,171036,CB,UCONN,1,0,0,75.0,0,0,146,0,0,75.3,75.7,75.8,58.3,71.7,82.9,1,0,0,1,20.0,0.0,0,0,0,56.8,6,0,0,10,55,36,65,0,0,0,0,0,0,65,1,28,0,1,8,0,8,1,0,61,21,10.2,6
Cleto Chol,171038,DI,UCONN,1,0,0,,0,1,146,0,0,68.4,70.7,73.8,58.3,35.1,72.4,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,23,23,0,14,4,5,0,0,16,5,0,1,1,0,0,1,0,0,0,,6
Oumar Diomande,171041,LB,UCONN,1,2,0,100.0,0,0,146,0,0,75.7,72.9,72.5,52.6,68.9,83.7,0,0,0,0,12.0,0.0,0,0,0,116.7,1,0,0,48,0,22,54,0,0,0,0,0,0,54,8,24,6,4,7,0,1,0,0,12,1,12.0,6
Brandon Kelley,171053,ED,UCONN,1,0,0,,0,0,146,0,0,60.2,75.7,74.6,76.1,62.5,50.0,0,2,0,0,,50.0,1,0,0,0.0,0,2,0,0,0,2,21,21,0,0,16,5,0,0,14,5,0,2,1,1,0,4,0,0,0,,6
Amir Renwick,171059,LB,UCONN,1,1,0,100.0,0,0,146,0,0,92.8,93.6,71.2,90.2,61.3,68.5,0,3,0,1,5.0,10.0,1,0,0,45.8,2,1,0,15,0,8,19,1,0,0,1,0,0,18,5,6,3,5,8,0,2,4,0,9,5,4.5,6
Jaiden Ausberry,171075,LB,NOTRE DAME,1,4,0,50.0,0,0,258,0,0,54.2,65.3,75.5,67.0,71.6,82.0,0,0,0,0,28.0,0.0,0,0,0,95.8,1,1,0,32,2,16,38,2,0,0,2,0,0,36,9,13,2,2,2,0,2,1,0,28,30,28.0,6
Drayk Bowen,171077,LB,NOTRE DAME,1,2,0,,0,0,258,0,0,56.8,66.4,76.3,67.2,69.6,79.8,0,1,0,0,,0.0,0,0,0,0.0,0,2,0,48,2,21,55,4,0,0,4,0,0,51,14,20,1,1,1,0,0,3,0,0,0,,6
Armel Mukam,171093,DI,NOTRE DAME,1,0,0,,0,0,258,0,0,,60.0,64.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,6
Kobi Onyiuke,171094,ED,NOTRE DAME,1,0,0,,0,0,258,0,0,,59.0,67.4,58.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,6
