player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,week
Tariq Jones,146073,ED,HAWAII,1,1,0,,0,0,180,0,0,,58.5,77.6,70.8,50.1,74.4,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,0,0,35,6,0,0,14,27,0,1,1,0,0,1,0,0,0,,0
Dominic Oliver,146147,ED,W KENTUCKY,1,0,0,100.0,0,0,346,0,0,48.9,59.3,78.2,65.1,61.7,,0,0,0,0,29.0,,0,0,0,118.8,1,0,0,1,0,4,29,28,0,0,28,0,0,1,17,8,0,0,0,0,1,0,0,29,11,29.0,0
Kilinahe Mendiola-Jensen,146198,S,HAWAII,1,0,0,33.3,0,0,180,0,0,89.5,90.1,77.8,,76.2,80.6,0,0,0,1,3.0,0.0,0,1,0,2.8,1,0,0,22,0,28,53,3,0,0,3,0,21,50,0,25,7,2,4,0,3,0,0,3,3,3.0,0
Marsel McDuffie,146212,LB,UNLV,1,4,0,0.0,0,0,325,0,0,85.7,87.8,77.5,75.7,69.4,83.2,0,1,0,1,,0.0,0,0,0,0.0,0,0,0,66,0,41,74,1,0,0,1,0,1,73,11,22,6,0,2,0,1,1,0,0,0,,0
Hunter Barth,146299,LB,STANFORD,1,0,0,100.0,0,0,300,0,0,63.9,63.6,77.2,63.7,56.3,44.0,0,0,0,0,10.0,33.3,1,0,0,108.3,1,1,0,34,0,25,41,4,0,0,4,0,0,37,7,9,3,3,2,0,1,1,0,10,14,10.0,0
Ese Dubre,146374,ED,STANFORD,1,0,0,,0,0,300,0,0,,75.9,73.3,74.8,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,2,6,1,0,0,8,1,0,0,0,0,0,1,0,0,0,,0
Mitch Leigber,146375,S,STANFORD,1,0,0,100.0,0,0,300,0,0,51.7,53.1,78.4,,61.5,40.3,0,0,0,0,25.0,33.3,2,0,0,149.6,5,0,0,10,0,51,65,0,0,0,0,0,40,65,0,14,15,0,4,0,5,0,1,52,19,10.4,0
Wilfredo Aybar,146378,ED,STANFORD,1,1,0,,0,0,300,1,1,60.8,63.0,78.7,61.0,62.1,75.2,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,44,44,0,6,33,5,0,0,31,10,0,0,1,0,0,2,0,0,0,,0
Anthony Franklin,146379,DI,STANFORD,1,1,0,,0,0,300,0,0,,54.3,74.2,60.2,51.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,4,18,0,1,0,0,17,6,0,0,0,0,0,0,0,0,0,,0
Zach Buckey,146383,DI,STANFORD,1,0,1,,0,0,300,0,0,,76.6,73.0,71.1,67.9,28.0,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,15,15,4,11,0,0,0,0,12,3,0,1,1,0,0,0,0,0,0,,0
