player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week
Brandon Ramirez,173514,FB,FRESNO ST,1,3,2,0,0.0,0,0,11,0,0,2,11.0,146.7,0,1,169,0,0,68.2,64.2,70.1,,,80.1,61.7,54.4,8,0,11,2,3,7,0,0,2,5,0,11,11.0,3.67,3.7,3.67,3,0
Ben Gulbranson,131734,QB,STANFORD,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,300,0,0,68.6,29.4,77.2,29.3,,,51.4,60.0,4,1,0,0,0,41,5,2,0,0,0,5,0.0,0.0,2.5,,0,0
Cole Ballard,173062,QB,KANSAS,1,2,0,0,0.0,0,0,10,0,0,0,7.0,0.0,0,0,198,0,2,65.5,64.3,66.6,,,,62.2,60.0,6,0,0,0,0,3,0,0,0,2,0,10,7.0,3.5,5.0,,0,0
Jayce Brown,173093,WR,KANSAS ST,1,2,1,1,113.8,33,0,29,2,0,1,2.0,16.7,1,1,199,0,0,67.8,67.3,77.5,,,63.6,70.3,55.1,33,0,78,4,29,15,0,0,8,6,0,29,2.0,1.0,14.5,2.69,1,0
Elijah Gilliam,73621,HB,FRESNO ST,1,2,0,0,0.0,0,0,3,0,0,0,2.0,0.0,0,1,169,0,2,66.3,68.0,68.9,,,79.1,62.9,,3,0,3,1,1,2,0,0,1,3,1,3,2.0,1.0,1.5,3.0,0,0
Christian Vaughn,184181,HB,HAWAII,1,1,0,0,0.0,0,0,3,0,0,0,2.0,0.0,0,0,180,0,1,62.5,57.3,66.1,,74.1,,57.9,,3,0,0,0,0,1,0,0,0,1,0,3,2.0,2.0,3.0,,0,0
Doug Emilien,129648,WR,KANSAS,1,1,0,0,0.0,0,0,2,0,0,0,3.0,0.0,0,0,198,1,1,,53.8,72.6,,,57.1,59.1,59.7,2,0,0,0,5,14,0,0,0,1,0,2,3.0,3.0,2.0,0.0,0,0
K.D. Hutchinson,163045,WR,W KENTUCKY,1,1,0,0,0.0,0,0,-1,1,0,0,1.0,0.0,0,0,346,0,1,71.2,76.0,73.6,,,77.3,57.9,60.5,-1,0,34,4,10,8,0,0,5,5,0,-1,1.0,1.0,-1.0,3.4,0,0
Johnathan Arceneaux,146053,HB,FRESNO ST,1,1,0,0,0.0,0,0,2,0,0,0,4.0,0.0,0,0,169,0,0,62.5,56.3,70.7,,,53.8,59.6,60.0,2,0,0,0,10,2,0,0,1,1,0,2,4.0,4.0,2.0,0.0,1,0
Matthew Henry,192936,WR,W KENTUCKY,1,1,0,0,,0,0,0,0,0,0,2.0,0.0,0,0,346,0,1,67.8,78.6,80.1,,,77.9,59.6,61.5,0,0,148,7,41,18,0,0,12,8,0,0,2.0,2.0,0.0,3.61,0,0
Jayon Farrar,198455,WR,FRESNO ST,1,1,1,0,0.0,0,0,-1,0,0,1,7.0,700.0,0,0,169,0,0,62.5,70.5,72.3,,,59.9,63.1,60.6,-1,0,0,0,1,9,0,0,0,1,0,-1,7.0,7.0,-1.0,0.0,0,0
E.J. Warner,156185,QB,FRESNO ST,1,1,0,0,0.0,0,0,8,0,0,0,0.0,0.0,0,1,169,1,0,28.8,59.4,76.3,56.9,,,63.3,60.0,8,0,0,0,0,26,0,0,0,1,0,8,0.0,0.0,8.0,,0,0
Darius Taylor,173422,HB,MINNESOTA,1,30,6,1,12.8,18,0,141,0,3,6,82.0,72.4,3,11,225,0,10,79.1,74.6,79.1,,26.0,84.3,73.3,60.0,18,0,36,4,21,31,0,0,5,34,0,141,82.0,2.73,4.7,1.71,20,1
Sam Scott,150701,HB,WYOMING,1,29,3,1,21.2,28,0,132,0,0,3,86.0,30.7,4,7,351,0,4,79.1,68.7,78.3,,40.7,54.0,70.0,59.3,28,0,0,0,18,33,0,0,1,29,0,132,86.0,2.97,4.6,0.0,25,1
Emmett Johnson,156473,HB,NEBRASKA,1,25,2,1,14.8,16,0,108,1,2,2,61.0,30.5,4,7,238,0,8,78.0,64.4,79.5,,73.7,52.7,66.2,73.6,16,0,27,7,41,26,0,0,10,32,0,108,61.0,2.44,4.3,0.66,17,1
Dewayne Coleman,163179,QB,ARMY,1,24,9,1,26.0,26,0,100,0,0,9,90.0,140.6,4,4,114,1,8,46.1,76.1,77.1,67.7,,,70.9,60.0,26,0,0,0,0,57,0,0,0,24,1,100,90.0,3.75,4.2,,9,1
Jonah Coleman,158717,HB,WASHINGTON,1,24,2,3,44.6,79,0,177,0,0,2,149.0,49.7,7,10,340,0,3,77.8,81.4,77.4,,61.2,57.9,81.8,60.0,38,0,22,1,15,27,0,0,2,25,2,177,149.0,6.21,7.4,1.47,21,1
Lucky Sutton,158807,HB,S DIEGO ST,1,23,8,1,17.0,17,0,100,1,1,8,63.0,98.6,3,9,284,0,14,77.5,70.5,76.1,,79.7,41.8,73.3,58.9,17,0,5,2,16,27,0,0,3,25,2,100,63.0,2.74,4.3,0.31,9,1
Kentrel Bullock,124129,HB,S ALABAMA,1,23,6,1,16.1,20,0,124,0,0,6,87.0,98.7,5,7,288,1,16,36.5,68.8,74.2,,7.1,55.7,69.0,65.3,20,0,0,0,8,24,0,0,0,23,2,124,87.0,3.78,5.4,0.0,7,1
Bryson Donelson,191080,HB,FRESNO ST,1,23,3,4,55.1,92,0,167,1,0,3,83.0,40.1,5,7,169,1,16,39.9,76.3,76.7,,69.6,51.6,75.9,81.6,31,0,25,4,21,23,0,0,5,27,1,167,83.0,3.61,7.3,1.19,7,1
Yasin Willis,183381,HB,SYRACUSE,1,23,4,0,0.0,0,0,91,0,0,4,70.0,52.9,1,8,304,0,4,77.5,79.8,74.7,,80.6,55.4,76.8,69.0,14,0,0,0,10,25,0,0,0,23,3,91,70.0,3.04,4.0,0.0,19,1
Tae Meadows,156865,HB,TROY,1,23,6,2,39.8,74,0,186,0,0,6,128.0,139.1,6,9,318,0,15,77.5,89.9,76.0,,78.4,67.2,87.1,59.9,47,0,12,1,11,27,0,0,1,24,1,186,128.0,5.57,8.1,1.09,8,1
Roman Hemby,144891,HB,INDIANA,1,23,8,1,27.5,30,0,109,0,1,8,66.0,107.6,3,9,190,0,7,77.6,73.8,76.0,,80.2,61.8,72.7,59.9,30,0,9,1,15,26,0,0,1,24,0,109,66.0,2.87,4.7,0.6,14,1
Rashod Dubinion,157020,HB,APP STATE,1,22,5,0,0.0,0,0,111,0,1,5,94.0,94.9,3,8,108,1,12,77.5,84.3,77.1,,74.6,66.2,86.2,60.0,13,0,31,5,28,25,0,0,6,27,1,111,94.0,4.27,5.0,1.11,10,1
Hollywood Smothers,173719,HB,NC STATE,1,22,8,1,25.0,19,0,76,0,1,8,88.0,138.5,3,4,248,0,9,77.5,76.6,78.0,,58.8,61.0,77.7,64.3,19,0,30,4,21,30,0,0,4,26,1,76,88.0,4.0,3.5,1.43,12,1
