player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Tariq Thomas,189180,HB,FRESNO ST,2,2,2,0,0.0,0,0,15,0,0,2,13,650.0,0,0,169,0,1,65.5,70.2,70.3,,,56.6,70.8,59.2,9,0,0,0,4,4,0,0,0,2,0,15,13,6.5,7.5,0.0,1
Andre Gilbert Jr.,189487,HB,NAVY,1,2,1,0,0.0,0,0,4,0,0,1,5,125.0,0,0,237,0,1,65.5,56.3,69.2,,,,57.6,58.4,3,0,0,0,0,7,0,0,0,2,0,4,5,2.5,2.0,,1
Bryant Wesco Jr.,183206,WR,CLEMSON,2,2,0,0,0.0,0,0,-8,1,0,0,2,0.0,0,0,140,0,0,77.5,58.9,79.4,,,58.8,59.5,59.5,-1,0,64,8,68,44,0,0,16,10,0,-8,2,1.0,-4.0,0.94,0
Taron Dickens,177946,QB,N ILLINOIS,2,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,254,1,0,39.9,52.8,78.1,59.0,,,33.7,60.2,5,0,0,0,0,36,7,2,0,0,0,7,5,2.5,3.5,,0
Shawn Foster II,190320,WR,C MICHIGAN,2,2,0,0,0.0,0,0,10,0,0,0,3,0.0,0,1,134,0,1,65.5,61.5,71.9,,,56.8,63.5,59.1,8,0,0,0,4,11,0,0,0,2,0,10,3,1.5,5.0,0.0,1
Champ Hampton,176615,HB,STANFORD,1,2,1,0,0.0,0,0,8,0,0,1,6,100.0,0,0,300,0,2,66.3,65.7,69.3,,67.8,60.6,64.2,,4,0,0,1,2,2,0,0,1,3,0,8,6,3.0,4.0,0.0,0
Ryan Niblett,176181,HB,TEXAS,2,2,1,0,0.0,0,0,10,0,0,1,6,150.0,0,0,311,0,0,72.0,60.3,70.3,,,56.6,61.0,60.0,6,0,0,0,5,3,0,0,0,2,0,10,6,3.0,5.0,0.0,2
Isaiah Thacker,176138,WR,BALL ST,2,2,0,0,0.0,0,0,7,0,1,0,4,25.0,0,0,117,1,2,18.4,56.7,78.1,,,65.9,45.6,30.1,5,0,42,6,40,16,0,0,10,8,0,7,4,2.0,3.5,1.05,0
Darius Johnson,175999,HB,NC STATE,2,2,1,0,0.0,0,0,11,0,0,1,7,175.0,0,1,248,0,1,65.5,60.9,76.0,,71.7,55.6,64.0,54.3,6,0,0,0,5,17,0,0,0,2,0,11,7,3.5,5.5,0.0,1
Charleston French,190846,HB,N CAROLINA,1,2,1,0,0.0,0,0,4,0,0,1,3,75.0,0,0,245,0,2,65.5,64.5,67.9,,73.4,59.5,63.1,,5,0,0,0,1,2,0,0,0,2,0,4,3,1.5,2.0,0.0,0
