rank,team,record,pf,pa,grade_over,grade_off,grade_pass,grade_pblk,grade_recv,grade_run,grade_rblk,grade_def,grade_rdef,grade_tack,grade_prsh,grade_cov,grade_spec
122,Ball State,1 - 1,44,73,66.1,63.6,64.8,53.0,62.4,72.6,58.5,59.4,44.5,34.7,76.1,58.1,77.4
123,Tulane,1 - 1,31,41,66.1,65.9,77.3,45.9,63.0,67.6,61.4,62.0,65.6,35.6,61.4,54.5,61.8
124,Hawaii,1 - 2,62,77,65.9,61.3,71.8,40.4,60.1,67.0,55.6,67.4,57.9,53.5,71.6,70.7,63.1
125,Missouri State,1 - 1,48,64,65.4,71.0,62.5,67.6,67.9,70.4,67.8,57.4,57.2,50.0,58.6,56.9,63.6
126,Utah State,0 - 2,31,45,64.6,55.1,37.4,68.5,62.7,66.0,49.0,73.1,88.9,81.2,63.2,62.4,61.7
127,Oregon State,0 - 2,44,68,64.2,62.5,65.5,67.5,62.7,59.8,52.9,62.0,64.8,58.5,62.7,55.0,65.8
128,Arkansas,1 - 1,41,57,64.0,61.0,55.7,71.7,66.4,59.5,52.5,62.7,67.8,63.5,55.6,62.0,71.9
129,Ohio,1 - 1,50,76,62.1,59.0,51.9,74.1,57.1,58.4,60.9,60.7,70.4,48.9,61.4,48.3,61.0
130,Boston College,1 - 1,43,55,61.2,57.3,51.3,66.6,55.5,66.7,58.5,64.2,63.9,58.6,66.9,62.5,66.3
131,Central Michigan,1 - 1,20,48,60.9,55.0,28.5,26.9,45.3,72.6,72.5,67.1,62.0,53.9,67.9,70.8,61.8
132,Bowling Green,0 - 2,20,76,59.8,58.4,49.2,68.1,66.8,53.2,56.9,60.3,65.0,61.0,62.8,53.5,61.2
133,Marshall,1 - 1,28,71,58.7,54.8,59.2,63.7,59.9,50.8,52.8,60.4,65.2,34.4,64.2,50.8,81.9
134,Washington State,0 - 2,17,58,57.5,54.5,79.1,18.2,57.1,56.7,54.2,61.5,61.3,48.0,61.2,59.6,71.9
135,Kent State,1 - 1,36,72,56.3,61.6,61.5,42.9,64.2,72.1,52.5,52.6,32.2,42.9,68.4,63.7,63.6
136,Northern Illinois,0 - 2,24,68,54.2,51.9,51.0,57.8,54.5,64.4,45.5,62.1,57.1,84.2,60.4,68.9,45.1
137,Western Kentucky,0 - 2,34,119,52.5,57.0,43.0,68.6,56.6,65.8,59.4,53.0,53.2,29.6,54.9,54.3,68.9
138,Louisiana-Monroe,0 - 2,33,88,52.1,54.9,52.5,64.5,49.2,76.0,46.6,53.2,63.3,40.3,64.6,37.9,57.6
