player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dylan Rosiek,144816,LB,ILLINOIS,10,10,1,72.0,0,1,187,0,0,74.7,73.6,83.6,65.0,67.8,72.2,0,1,0,1,19.0,9.8,6,1,0,89.8,18,1,0,373,0,209,391,3,0,0,3,0,0,388,13,169,15,14,45,3,25,2,1,186,109,10.3
DD Snyder,144817,S,UMASS,2,1,0,,0,0,216,0,0,77.7,72.1,76.4,,55.0,54.9,0,0,0,1,,20.0,1,0,0,0.0,0,0,0,35,0,43,66,0,0,0,0,0,29,66,0,23,2,0,3,0,0,0,0,0,0,
Kenenna Odeluga,144818,LB,ILLINOIS,12,4,0,100.0,0,0,187,0,0,50.1,59.0,80.4,44.8,70.5,69.3,0,1,0,0,24.0,11.1,2,0,0,105.4,10,0,0,122,1,60,162,20,0,0,20,0,0,142,8,94,19,8,12,1,10,1,0,93,71,9.3
Luke Zardzin,144819,LB,ILLINOIS,3,3,0,100.0,0,0,187,0,0,53.7,56.3,75.1,60.0,59.9,81.4,0,0,0,0,7.0,0.0,0,0,0,95.8,1,0,0,28,0,8,30,2,0,0,2,0,0,28,1,21,0,3,4,0,1,0,0,7,7,7.0
Sedarius McConnell,144822,DI,BOSTON COL,11,14,0,,0,1,121,0,0,63.5,64.2,27.7,53.7,72.2,64.7,0,6,0,0,,11.8,4,0,3,0.0,0,3,0,0,0,0,476,475,4,268,49,154,0,1,236,240,1,14,16,4,0,9,0,0,0,
Andrew Turvy,144844,ED,INDIANA,4,3,0,,0,0,190,0,0,63.3,65.4,77.3,62.4,62.4,79.4,1,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,26,23,0,0,20,3,0,3,9,15,3,0,1,0,0,2,0,0,0,
Jaxon Rexroth,144864,LB,IOWA,12,5,0,90.9,0,0,192,0,0,70.1,68.7,86.9,59.1,66.8,73.6,1,3,0,1,20.0,8.7,2,0,0,60.6,10,0,0,47,5,82,230,94,0,0,93,1,0,136,25,123,84,7,16,2,11,4,0,84,61,8.4
Kelby Telander,144866,ED,IOWA,2,0,0,,0,0,192,0,0,,65.5,69.6,,63.7,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,4,3,0,0,3,0,0,1,0,4,0,1,1,0,0,0,0,0,0,
Jaden Harrell,144871,LB,IOWA,9,12,0,91.7,0,2,192,0,0,55.8,62.8,81.2,59.2,68.2,44.4,1,5,0,0,25.0,19.6,10,0,1,120.5,11,1,0,275,1,130,299,1,0,0,1,0,0,298,25,144,22,15,29,1,12,7,1,75,54,6.8
Zach Twedt,144872,LB,IOWA,1,0,0,,0,0,192,0,0,60.0,82.7,67.2,64.2,68.7,73.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,1,4,0,0,0,0,0,0,4,1,2,0,1,1,0,0,1,0,0,0,
Karson Sharar,144873,LB,IOWA,12,21,1,79.5,0,0,192,0,0,62.2,73.1,88.0,63.7,79.2,59.3,4,6,0,0,26.0,17.3,18,0,0,86.6,31,2,0,503,3,300,689,43,0,0,43,0,0,646,70,319,140,40,65,9,39,12,0,187,120,6.0
Max Llewellyn,144874,ED,IOWA,12,3,3,100.0,1,2,192,0,0,43.2,72.6,52.2,87.2,56.5,46.6,10,25,0,0,14.0,33.3,7,0,2,104.2,3,6,0,0,0,11,507,507,0,5,435,67,0,0,278,218,0,14,11,1,3,41,0,27,21,9.0
Jeremiah Pittman,144875,DI,IOWA,12,0,0,,0,0,192,0,0,,53.0,80.4,57.3,50.5,27.8,0,3,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,125,125,13,110,0,2,0,0,63,62,0,1,1,0,0,3,0,0,0,
Branden Jennings,144903,ED,MISS STATE,12,15,0,62.5,1,0,227,0,0,68.4,62.0,15.8,53.1,66.7,72.0,1,10,0,0,21.0,13.0,6,1,3,81.8,5,0,0,149,0,73,435,281,0,2,260,19,0,154,143,219,5,17,25,0,8,11,0,53,17,10.6
Darrell Jackson Jr.,144910,DI,FLORIDA ST,12,20,0,,0,0,167,0,0,60.8,74.4,69.4,58.5,81.3,73.9,1,12,0,0,,7.7,4,0,1,0.0,0,1,0,1,0,5,522,520,159,327,1,33,0,2,252,265,0,24,28,1,0,14,0,0,0,
Zion Shockley,144911,DI,CHARLOTTE,11,6,0,,0,0,136,0,0,61.7,56.9,83.4,54.7,56.6,66.5,0,3,0,0,,7.7,1,0,0,0.0,0,0,0,1,0,1,311,309,38,251,7,13,0,2,167,143,0,3,6,2,0,3,0,0,0,
Peyton O'Leary,144921,WR,MICHIGAN,1,0,0,,0,0,222,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Ja'den McBurrows,144931,CB,APP STATE,3,0,0,52.9,0,0,108,0,0,72.4,77.2,80.9,64.7,83.5,46.0,0,1,0,1,26.0,23.1,3,1,0,64.3,9,0,0,27,2,72,115,3,0,0,3,0,2,112,4,39,81,6,10,2,17,1,1,94,27,10.4
Rod Moore,144932,S,MICHIGAN,3,3,0,66.7,0,0,222,0,0,67.9,64.0,79.6,60.0,51.9,57.5,0,0,0,1,28.0,18.2,2,1,0,66.7,2,0,0,14,2,49,85,1,0,0,1,0,55,84,1,35,13,0,6,0,3,0,0,35,9,17.5
Rayshaun Benny,144933,DI,MICHIGAN,12,12,2,,0,0,222,1,0,60.5,79.3,62.0,68.5,83.5,61.2,3,12,0,0,,8.8,3,0,1,0.0,0,2,0,7,0,1,415,408,20,308,21,59,0,7,240,174,0,15,19,1,0,17,0,0,0,
