player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Kendrick Law,157004,WR,KENTUCKY,12,3.4,14,82.8,100.0,2,2,1,1.9,1,-0.05,22,202,0,89.2,79.5,71.6,63.9,73.0,0.6,2,3,71,0.3,1,313,4,42.7,53,93.6,293,77.3,242,97.9,64,3,19.8,62,540,505,9.5,10.2,1.84
Junior Sherrill,172627,WR,VANDERBILT,12,10.6,8,71.9,50.0,6,12,2,8.0,4,0.44,33,333,1,69.8,47.5,71.9,,72.1,0.0,0,1,40,0.0,0,367,4,58.0,46,94.0,345,9.3,34,134.4,64,7,90.7,333,652,266,5.8,14.2,1.89
Carlos Hernandez,174167,WR,WAKE,12,9.3,3,53.1,33.3,1,3,0,12.8,5,0.18,17,339,0,54.1,83.3,59.0,,64.8,0.0,0,3,93,0.0,0,259,6,45.1,34,95.0,246,49.8,129,77.5,64,3,50.2,130,538,351,10.3,15.8,2.19
Cam Ross,97105,WR,VIRGINIA,11,7.9,5,67.2,57.1,4,7,0,8.5,4,0.19,20,335,0,67.0,84.7,68.6,,69.3,3.1,8,1,46,0.0,0,258,1,50.0,43,96.9,250,84.9,219,91.9,64,2,11.6,30,459,217,5.0,10.7,1.84
Colin Chase,165302,WR,TEMPLE,12,10.1,3,63.5,33.3,4,12,0,2.4,1,0.17,26,306,1,84.7,56.1,64.9,,64.3,1.8,7,0,42,0.0,0,388,1,45.9,40,96.6,375,26.0,101,103.5,63,4,71.6,278,414,186,4.7,10.4,1.1
DeJuan Williams,183534,HB,MARYLAND,12,0.9,8,71.4,100.0,1,1,0,11.8,6,0.04,18,215,1,56.1,78.9,68.9,45.0,60.3,0.0,0,0,55,23.3,84,360,1,43.3,45,75.6,272,5.6,20,95.1,63,1,8.9,32,426,432,9.6,9.5,1.57
DeAree Rogers,199830,WR,N ILLINOIS,12,8.0,10,73.0,71.4,10,14,0,0.0,0,-0.26,25,254,0,91.7,82.2,77.3,,76.8,0.0,0,2,50,0.0,0,277,1,35.9,46,94.6,262,81.6,226,99.0,63,3,18.4,51,506,292,6.3,11.0,1.93
Ayden Greene,174784,WR,VA TECH,11,16.7,4,49.2,26.7,4,15,0,3.1,1,-0.09,20,337,0,81.4,72.0,63.2,,66.2,0.0,0,3,67,0.0,0,344,1,40.6,31,94.5,325,3.5,12,73.3,63,3,96.5,332,517,138,4.5,16.7,1.59
Shelton Sampson Jr.,172494,WR,LA LAFAYET,9,18.5,1,46.0,47.1,8,17,0,9.4,3,-0.04,19,207,0,65.1,71.9,71.1,61.9,72.6,0.0,0,1,45,0.4,1,246,1,39.3,29,90.7,223,15.4,38,93.0,63,5,84.6,208,495,76,2.6,17.1,2.22
Jordan Faison,171081,WR,NOTRE DAME,12,9.3,19,77.8,50.0,5,10,0,3.9,2,0.48,36,258,0,81.4,83.3,75.7,64.6,77.0,1.0,3,1,54,0.3,1,300,1,56.1,49,93.0,279,10.3,31,123.5,63,4,88.0,264,640,269,5.5,13.1,2.29
Aaron Turner,147371,WR,RICE,12,2.2,16,84.1,100.0,4,4,2,1.9,1,-0.11,22,275,0,89.1,66.2,72.4,41.3,76.8,17.7,38,1,55,5.6,12,215,4,39.1,53,91.2,196,55.8,120,101.4,63,3,25.6,55,385,409,7.7,7.3,1.96
Brandon Hawkins Jr.,131439,WR,UAB,12,10.6,8,66.7,57.1,4,7,0,6.7,3,0.15,25,321,0,72.6,73.5,66.6,54.4,69.2,0.0,0,4,68,0.3,1,332,3,47.6,42,95.2,316,38.0,126,93.6,63,5,62.0,206,544,218,5.2,13.0,1.72
Grady O'Neill,170328,WR,SM HOUSTON,11,7.8,4,61.3,33.3,3,9,0,11.6,5,-0.29,21,281,0,59.2,73.5,63.3,,64.2,0.0,0,2,29,0.0,0,301,1,36.8,38,94.7,285,99.3,299,71.4,62,1,0.0,0,392,128,3.4,10.3,1.38
Malachi Fields,151069,WR,NOTRE DAME,12,16.4,6,58.1,47.8,11,23,0,2.7,1,0.35,27,258,1,84.2,38.8,75.8,66.6,76.2,1.3,4,1,66,0.6,2,309,1,54.2,36,92.6,286,9.7,30,113.0,62,5,88.7,274,630,192,5.3,17.5,2.2
