player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Rodney Hill,156290,HB,ARKANSAS,6,7.4,0,111,60.9,29.3,,0,0,1,5.6,10.5,100.0,0,0,0,2,0,0,0,27,2,19,0,0,0,0
Jalen Rashad Turner,186439,HB,AIR FORCE,1,100.0,0,101,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Atticus Sappington,155544,K,OREGON,3,66.7,0,264,56.3,,60.0,0,0,0,,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
Luke Talich,171100,S,NOTRE DAME,3,66.7,0,258,99.9,63.8,60.0,0,0,1,50.0,50.0,100.0,1,0,0,2,0,0,0,3,1,2,0,0,1,0
Mckeegan Ferguson,171237,TE,C MICHIGAN,1,100.0,0,134,61.1,,69.5,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,1
Malcolm McCain,171282,LB,MIAMI OH,1,100.0,0,221,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Jamiel Williams,198616,T,KENNESAW,1,100.0,0,200,59.4,,51.4,0,0,0,,,,0,0,0,2,0,0,2,2,0,0,0,0,2,0
Jay'shon Thomas,171332,ED,N ILLINOIS,2,100.0,0,254,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Rylan Vagana,184912,LS,TEXAS TECH,2,100.0,0,315,60.0,,60.0,0,0,0,,,,0,0,0,2,1,0,0,2,0,0,0,0,2,0
Malachi Fannin-Render,198660,HB,LIBERTY,1,50.0,0,206,57.3,71.0,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,4,1,1,0,0,1,0
Braden Mullen,148849,ED,CHARLOTTE,2,100.0,0,136,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Tyler Folmar,198706,T,LOUISVILLE,1,100.0,0,210,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,2,2,0,0,0,0,2,0
Gradey Anthony,198710,T,LOUISVILLE,1,100.0,0,210,60.0,,60.0,0,0,0,,,,0,0,0,2,0,2,0,2,0,0,0,0,2,0
Mason Phillips,208842,QB,TENNESSEE,1,50.0,0,307,64.2,,60.0,0,0,0,,,,0,0,0,2,0,0,0,4,0,0,0,0,2,0
Caleb Curtain,148341,S,CHARLOTTE,2,100.0,0,136,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
Sean Na'a,171884,G,ARIZONA ST,2,100.0,0,110,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Garrett Cates,147934,LS,USF,2,100.0,0,327,60.0,63.8,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,0
Connor Stutz,147829,P,UCONN,4,50.0,0,146,71.2,63.8,60.0,0,0,0,,100.0,,0,0,0,2,0,0,0,4,1,1,0,0,1,0
Zaidyn Moore,198820,WR,MIDDLE TN,2,66.7,0,224,59.1,,60.0,0,0,0,0.0,0.0,,0,0,0,2,0,0,0,3,0,1,0,0,2,0
Hank Zilinskas,171911,C,RUTGERS,1,100.0,0,278,60.0,,56.0,0,0,0,,,,0,0,0,2,2,0,0,2,0,0,0,0,2,0
Gavin Willis,171971,LB,CHARLOTTE,2,100.0,0,136,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,0,2,0
