Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134270-199768,TE,Trey'Dez,Trey'Dez Green,Green,13.949999809265137,2,7600,LSU@MISS,LSU,MISS,,,,,,WR/Super FLEX
134270-205930,WR,Ryan,Ryan Coleman-Williams,Coleman-Williams,11.350000381469727,2,7600,FSU@BAMA,BAMA,FSU,,,,,,WR/Super FLEX
134270-230895,RB,Waymond,Waymond Jordan,Jordan,7.799999872843425,3,7500,USC@RUT,USC,RUT,,,,,,RB/Super FLEX
134270-192429,WR,Jackson,Jackson Harris,Harris,6.599999904632568,2,7500,LSU@MISS,LSU,MISS,,,,,,WR/Super FLEX
134270-174568,WR,Nik,Nik McMillan,McMillan,12.199999809265137,1,7400,ASU@KU,KU,ASU,,,,,,WR/Super FLEX
134270-183648,RB,Kendrick,Kendrick Raphael,Raphael,9.100000381469727,2,7400,SMU@LOU,SMU,LOU,,,,,,RB/Super FLEX
134270-173527,WR,DJ,DJ Epps,Epps,5.599999904632568,1,7400,WVU@UVA,WVU,UVA,,,,,,WR/Super FLEX
134270-200553,QB,Alessio,Alessio Milivojevic,Milivojevic,15.789999961853027,2,7400,MSU@ND,MSU,ND,,,,,,QB/Super FLEX
134270-190943,WR,Duce,Duce Robinson,Robinson,3.4000000953674316,2,7300,FSU@BAMA,FSU,BAMA,,,,,,WR/Super FLEX
134270-199797,WR,Mario,Mario Craver,Craver,11.75,2,7300,UK@TXAM,TXAM,UK,,,,,,WR/Super FLEX
134270-230977,RB,Nolan,Nolan James Jr.,James Jr.,15.949999809265137,2,7300,MSU@ND,ND,MSU,,,,,,RB/Super FLEX
134270-245851,WR,Kayden,Kayden Dixon-Wyatt,Dixon-Wyatt,11.533332824707031,3,7200,USC@RUT,USC,RUT,,,,,,WR/Super FLEX
134270-173016,QB,Grady,Grady Brosterhous,Brosterhous,13.0600004196167,2,7200,UTST@UTAH,UTST,UTAH,,,,,,QB/Super FLEX
134270-200127,WR,Lawayne,Lawayne McCoy,McCoy,15.199999809265137,1,7200,SMU@LOU,LOU,SMU,,,,,,WR/Super FLEX
134270-190118,RB,Kyson,Kyson Brown,Brown,5.300000190734863,1,7200,ASU@KU,ASU,KU,,,,,,RB/Super FLEX
134270-204455,RB,Nate,Nate Frazier,Frazier,12.5,1,7200,UGA@ARK,UGA,ARK,,,,,,RB/Super FLEX
134270-184311,QB,McCae,McCae Hillstead,Hillstead,16.420000076293945,1,7200,UTST@UTAH,UTST,UTAH,Q,Forearm,,,,QB/Super FLEX
134270-189162,WR,London,London Humphreys,Humphreys,8.100000381469727,1,7100,UGA@ARK,UGA,ARK,,,,,,WR/Super FLEX
134270-207747,RB,Antwan,Antwan Raymond,Raymond,14.100000381469727,2,7100,USC@RUT,RUT,USC,Q,Undisclosed,,,,RB/Super FLEX
134270-200111,WR,T.J.,T.J. Moore,Moore,12.449999809265137,2,7100,UNC@CLEM,CLEM,UNC,,,,,,WR/Super FLEX
134270-231282,RB,Omar,Omar Mabson II,Mabson II,10.600000381469727,2,7100,UF@AUB,AUB,UF,,,,,,RB/Super FLEX
134270-205971,WR,Zion,Zion Ragins,Ragins,12.399999618530273,2,7000,MSST@SCAR,MSST,SCAR,,,,,,WR/Super FLEX
134270-187674,RB,Samuel,Samuel Singleton Jr.,Singleton Jr.,18.5,2,7000,FSU@BAMA,FSU,BAMA,,,,,,RB/Super FLEX
134270-204225,RB,Matt,Matt Fuller,Fuller,13.399999618530273,1,7000,MSST@SCAR,SCAR,MSST,,,,,,RB/Super FLEX
134270-229270,WR,Donovan,Donovan Murph,Murph,23.200000762939453,1,7000,MSST@SCAR,SCAR,MSST,,,,,,WR/Super FLEX
134270-223192,WR,Dallas,Dallas Wilson,Wilson,6.199999809265137,1,7000,UF@AUB,UF,AUB,,,,,,WR/Super FLEX
134270-204966,WR,Da'Shawn,Da'Shawn Martin,Martin,11.199999809265137,1,6900,WVU@UVA,UVA,WVU,,,,,,WR/Super FLEX
134270-225606,QB,Byrd,Byrd Ficklin,Ficklin,12.15999984741211,2,6900,UTST@UTAH,UTAH,UTST,,,,,,QB/Super FLEX
134270-231769,RB,Braxton,Braxton Jennings,Jennings,6.900000095367432,4,6900,SMU@LOU,LOU,SMU,,,,,,RB/Super FLEX
134270-190963,WR,Darrell,Darrell Gill Jr.,Gill Jr.,1.399999976158142,1,6900,LSU@MISS,MISS,LSU,,,,,,WR/Super FLEX
134270-230888,RB,Dramekco,Dramekco Green,Green,7.150000095367432,2,6900,SMU@LOU,SMU,LOU,,,,,,RB/Super FLEX
134270-190124,WR,Eugene,Eugene Wilson III,Wilson III,8.399999618530273,2,6900,LSU@MISS,LSU,MISS,,,,,,WR/Super FLEX
134270-168164,WR,Chas,Chas Nimrod,Nimrod,7.400000095367432,2,6800,UF@AUB,AUB,UF,,,,,,WR/Super FLEX
134270-199569,WR,Sacovie,Sacovie White-Helton,White-Helton,14.300000190734863,1,6800,UGA@ARK,UGA,ARK,,,,,,WR/Super FLEX
134270-199575,RB,Chauncey,Chauncey Bowens,Bowens,11.899999618530273,1,6800,UGA@ARK,UGA,ARK,,,,,,RB/Super FLEX
134270-183498,WR,Johntay,Johntay Cook II,Cook II,7.900000095367432,1,6800,LSU@MISS,MISS,LSU,,,,,,WR/Super FLEX
134270-200102,WR,Bryant,Bryant Wesco Jr.,Wesco Jr.,4.849999904632568,2,6800,UNC@CLEM,CLEM,UNC,,,,,,WR/Super FLEX
134270-184214,RB,Jekail,Jekail Middlebrook,Middlebrook,6.400000095367432,1,6800,WVU@UVA,UVA,WVU,,,,,,RB/Super FLEX
134270-241687,QB,Landen,Landen Clark,Clark,9.279999732971191,2,6700,LSU@MISS,LSU,MISS,,,,,,QB/Super FLEX
134270-152157,WR,Jaden,Jaden Bray,Bray,4.900000095367432,1,6700,WVU@UVA,WVU,UVA,,,,,,WR/Super FLEX
134270-205724,WR,Kyri,Kyri Shoels,Shoels,1.600000023841858,1,6700,UTST@UTAH,UTAH,UTST,,,,,,WR/Super FLEX
134270-189373,WR,Yamir,Yamir Knight,Knight,6.800000190734863,2,6700,SMU@LOU,SMU,LOU,,,,,,WR/Super FLEX
134270-185537,WR,Omarion,Omarion Miller,Miller,7.400000095367432,1,6700,ASU@KU,ASU,KU,P,Undisclosed,,,,WR/Super FLEX
134270-177650,RB,Cam,Cam Edwards,Edwards,21.850000381469727,2,6700,MSU@ND,MSU,ND,,,,,,RB/Super FLEX
134270-200407,RB,Yasin,Yasin Willis,Willis,3.799999952316284,1,6700,ASU@KU,KU,ASU,,,,,,RB/Super FLEX
134270-200988,WR,TreyShun,TreyShun Hurry,Hurry,8.699999809265137,1,6600,SMU@LOU,LOU,SMU,,,,,,WR/Super FLEX
134270-225902,RB,Gideon,Gideon Davidson,Davidson,4.099999904632568,2,6600,UNC@CLEM,CLEM,UNC,,,,,,RB/Super FLEX
134270-185097,WR,Jaden,Jaden Greathouse,Greathouse,3.700000047683716,2,6600,MSU@ND,ND,MSU,,,,,,WR/Super FLEX
134270-199582,QB,Ryan,Ryan Puglisi,Puglisi,12.65999984741211,1,6600,UGA@ARK,UGA,ARK,,,,,,QB/Super FLEX
134270-211943,RB,Mel,Mel Brown,Brown,18.649999618530273,2,6600,BYU@CSU,CSU,BYU,,,,,,RB/Super FLEX
134270-205957,WR,Sanfrisco,Sanfrisco Magee,Magee,11.850000381469727,2,6600,MSST@SCAR,MSST,SCAR,,,,,,WR/Super FLEX
134270-200389,WR,Terrell,Terrell Anderson,Anderson,0,1,6600,USC@RUT,USC,RUT,,,,,,WR/Super FLEX
134270-184384,TE,Randy,Randy Pittman Jr.,Pittman Jr.,11.600000381469727,2,6500,SMU@LOU,SMU,LOU,,,,,,WR/Super FLEX
134270-207914,RB,Stacy,Stacy Gage,Gage,3.6500000953674316,2,6500,LSU@MISS,LSU,MISS,,,,,,RB/Super FLEX
134270-226423,WR,Jeremiah,Jeremiah Koger,Koger,7.900000095367432,2,6500,UF@AUB,AUB,UF,,,,,,WR/Super FLEX
134270-183501,RB,CJ,CJ Baxter,Baxter,11.100000381469727,2,6500,UK@TXAM,UK,TXAM,,,,,,RB/Super FLEX
134270-169222,WR,Jacquon,Jacquon Gibson,Gibson,10.462499618530273,8,6500,WVU@UVA,UVA,WVU,,,,,,WR/Super FLEX
134270-183579,WR,Eric,Eric Singleton Jr.,Singleton Jr.,9.254545731977982,11,6500,UF@AUB,UF,AUB,Q,Ankle,,,,WR/Super FLEX
134270-200328,WR,Jordan,Jordan Shipp,Shipp,9.600000381469727,1,6500,UNC@CLEM,UNC,CLEM,,,,,,WR/Super FLEX
134270-171905,WR,Eli,Eli Wood,Wood,16.149999618530273,2,6500,UTST@UTAH,UTST,UTAH,,,,,,WR/Super FLEX
134270-241598,RB,EJ,EJ Crowell,Crowell,9.600000381469727,2,6500,FSU@BAMA,BAMA,FSU,,,,,,RB/Super FLEX
134270-223201,QB,Deuce,Deuce Knight,Knight,10.420000076293945,1,6500,LSU@MISS,MISS,LSU,,,,,,QB/Super FLEX
134270-229436,RB,Jabree,Jabree Coleman,Coleman,19.700000762939453,1,6400,MSST@SCAR,SCAR,MSST,,,,,,RB/Super FLEX
134270-245907,QB,Noah,Noah Grubbs,Grubbs,3.119999885559082,1,6400,MSU@ND,ND,MSU,,,,,,QB/Super FLEX
134270-242010,WR,Kenny,Kenny Darby,Darby,11.399999618530273,2,6400,UK@TXAM,UK,TXAM,,,,,,WR/Super FLEX
134270-168349,TE,Noah,Noah Bennee,Bennee,14.649999618530273,2,6400,UTST@UTAH,UTAH,UTST,,,,,,WR/Super FLEX
134270-224035,RB,Jamarion,Jamarion Morrow,Morrow,8.600000381469727,2,6400,UK@TXAM,TXAM,UK,Q,Undisclosed,,,,RB/Super FLEX
134270-242557,WR,Legend,Legend Glasker,Glasker,9.399999618530273,1,6400,BYU@CSU,BYU,CSU,,,,,,WR/Super FLEX
